model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1903d1TS240_3  0        0        0.337    0.343    0.346    0.350    0.347    0.349    0.351    0.352     0.347
C1903d1TS247_5  0        0        0.317    0.327    0.330    0.331    0.329    0.333    0.332    0.331     0.305
C1903d1TS215_1  0        0        0.315    0.310    0.309    0.322    0.323    0.321    0.320    0.322     0.283
C1903d1TS215_5  0        0        0.298    0.303    0.303    0.318    0.324    0.322    0.323    0.320     0.284
C1903d1TS438_2  0        0        0.233    0.234    0.235    0.235    0.241    0.241    0.241    0.241     0.227
C1903d1TS247_1  0        0        0        0.344    0.349    0.350    0.351    0.352    0.352    0.351     0.326
C1903d1TS210_5  0        0        0        0.342    0.345    0.345    0.342    0.343    0.345    0.346     0.321
C1903d1TS240_4  0        0        0        0.334    0.336    0.339    0.337    0.339    0.340    0.341     0.336
C1903d1TS073_4  0        0        0        0.292    0.295    0.297    0.296    0.296    0.297    0.301     0.293
C1903d1TS103_1  0        0        0        0.250    0.252    0.252    0.250    0.251    0.251    0.252     0.244
C1903d1TS405_4  0        0        0        0        0.363    0.364    0.364    0.367    0.368    0.368     0.348
C1903d1TS258_5  0        0        0        0        0.351    0.359    0.354    0.355    0.360    0.365     0.330
C1903d1TS247_3  0        0        0        0        0.350    0.355    0.351    0.352    0.351    0.350     0.326
C1903d1TS228_1  0        0        0        0        0.344    0.341    0.338    0.340    0.348    0.350     0.312
C1903d1TS073_1  0        0        0        0        0.306    0.308    0.306    0.307    0.308    0.315     0.304
C1903d1TS270_1  0        0        0        0        0.287    0.288    0.287    0.287    0.293    0.291     0.276
C1903d1TS347_3  0        0        0        0        0.259    0.260    0.258    0.259    0.259    0.259     0.254
C1903d1TS240_5  0        0        0        0        0        0.343    0.341    0.343    0.345    0.345     0.341
C1903d1TS258_3  0        0        0        0        0        0.335    0.339    0.344    0.349    0.353     0.319
C1903d1TS347_1  0        0        0        0        0        0.292    0.295    0.295    0.295    0.295     0.288
C1903d1TS131_2  0        0        0        0        0        0        0.375    0.376    0.379    0.390     0.331
C1903d1TS210_2  0        0        0        0        0        0        0.365    0.368    0.369    0.369     0.348
C1903d1TS073_5  0        0        0        0        0        0        0.308    0.309    0.310    0.313     0.306
C1903d1TS347_2  0        0        0        0        0        0        0.296    0.296    0.297    0.297     0.289
C1903d1TS438_3  0        0        0        0        0        0        0.271    0.272    0.273    0.273     0.262
C1903d1TS405_5  0        0        0        0        0        0        0        0.367    0.368    0.368     0.350
C1903d1TS258_2  0        0        0        0        0        0        0        0.359    0.363    0.364     0.344
C1903d1TS240_1  0        0        0        0        0        0        0        0.343    0.345    0.346     0.338
C1903d1TS123_5  0        0        0        0        0        0        0        0.273    0.279    0.278     0.260
C1903d1TS438_4  0        0        0        0        0        0        0        0        0.264    0.264     0.255
C1903d1TS240_2  0        0        0        0        0        0        0        0        0        0         0.345
C1903d1TS073_2  0        0        0        0        0        0        0        0        0        0         0.289
C1903d1TS073_3  0        0        0        0        0        0        0        0        0        0         0.287
C1903d1TS123_1  0        0        0        0        0        0        0        0        0        0         0.264
C1903d1TS121_1  0        0        0        0        0        0        0        0        0        0         0.259
C1903d1TS067_1  0        0        0        0        0        0        0        0        0        0         0.254
C1903d1TS003_1  0        0        0        0        0        0        0        0        0        0         0.241
C1903d1TS121_2  0        0        0        0        0        0        0        0        0        0         0.218
C1903d1TS049_2  0        0        0        0        0        0        0        0        0        0         0.191
C1903d1TS049_4  0        0        0        0        0        0        0        0        0        0         0.181
C1903d1TS049_5  0        0        0        0        0        0        0        0        0        0         0.181
C1903d1TS049_1  0        0        0        0        0        0        0        0        0        0         0.178
C1903d1TS049_3  0        0        0        0        0        0        0        0        0        0         0.151
