model           cs_top1   cs_top2   cs_top3   cs_top4   cs_top5  cs_top6  cs_top7   cs_top8   cs_top9   cs_top10  cs_top20  cs_top50  cs_all
C1902d2TS131_3  00        00        00        0.3550    0.362    0.368    0.3885    0.4033    0.4065    0.4161    0.4380    0.3990    0.3585
C1902d2TS210_3  00        00        00        0.2753    0.276    0.280    0.2906    0.3077    0.3136    0.3210    0.3304    0.3238    0.2917
C1902d2TS123_2  00        00        00        0.2155    0.216    0.217    0.2237    0.2285    0.2309    0.2347    0.2470    0.2591    0.2436
C1902d2TS131_5  00        00        00        00        0        0.351    0.3671    0.3760    0.3829    0.3941    0.4227    0.3922    0.3529
C1902d2TS215_1  00        00        00        00        0        0.282    0.2893    0.3006    0.3071    0.3108    0.3298    0.3189    0.2908
C1902d2TS123_5  00        00        00        00        0        0.192    0.1985    0.2029    0.2105    0.2133    0.2195    0.2236    0.2079
C1902d2TS131_4  00        00        00        00        0        0        0.3711    0.3811    0.3845    0.4002    0.4301    0.3902    0.3521
C1902d2TS258_1  00        00        00        00        0        0        0.3585    0.3697    0.3721    0.3812    0.4081    0.3809    0.3433
C1902d2TS215_3  00        00        00        00        0        0        0.3091    0.3164    0.3217    0.3318    0.3601    0.3382    0.3060
C1902d2TS405_4  00        00        00        00        0        0        0.2871    0.2944    0.2985    0.3076    0.3317    0.3345    0.3029
C1902d2TS215_4  00        00        00        00        0        0        00        0.2991    0.3064    0.3149    0.3326    0.3244    0.2948
C1902d2TS240_3  00        00        00        00        0        0        00        00        0.3151    0.3215    0.3388    0.3520    0.3227
C1902d2TS273_2  00        00        00        00        0        0        00        00        0.3088    0.3140    0.3349    0.3423    0.3103
C1902d2TS210_5  00        00        00        00        0        0        00        00        0.2883    0.2951    0.3182    0.3227    0.2925
C1902d2TS131_2  00        00        00        00        0        0        00        00        00        0.4063    0.4358    0.4027    0.3637
C1902d2TS258_3  00        00        00        00        0        0        00        00        00        0.3748    0.4055    0.3777    0.3403
C1902d2TS210_4  00        00        00        00        0        0        00        00        00        0.3030    0.3320    0.3319    0.3006
C1902d2TS258_2  00        00        00        00        0        0        00        00        00        00        0.4016    0.3740    0.3363
C1902d2TS044_1  00        00        00        00        0        0        00        00        00        00        0.3919    0.3812    0.3479
C1902d2TS405_5  00        00        00        00        0        0        00        00        00        00        0.3289    0.3262    0.2943
C1902d2TS273_3  00        00        00        00        0        0        00        00        00        00        0.3247    0.3327    0.3030
C1902d2TS405_3  00        00        00        00        0        0        00        00        00        00        0.3246    0.3272    0.2951
C1902d2TS215_2  00        00        00        00        0        0        00        00        00        00        0.3242    0.3230    0.2953
C1902d2TS273_5  00        00        00        00        0        0        00        00        00        00        0.3192    0.3342    0.3052
C1902d2TS215_5  00        00        00        00        0        0        00        00        00        00        0.3109    0.3150    0.2889
C1902d2TS003_1  00        00        00        00        0        0        00        00        00        00        0.2775    0.2796    0.2712
C1902d2TS049_5  00        00        00        00        0        0        00        00        00        00        0.2342    0.2402    0.2544
C1902d2TS049_3  00        00        00        00        0        0        00        00        00        00        0.2303    0.2342    0.2477
C1902d2TS240_2  00        00        00        00        0        0        00        00        00        00        00        0.3608    0.3306
C1902d2TS240_4  00        00        00        00        0        0        00        00        00        00        00        0.3518    0.3232
C1902d2TS240_5  00        00        00        00        0        0        00        00        00        00        00        0.3494    0.3210
C1902d2TS240_1  00        00        00        00        0        0        00        00        00        00        00        0.3484    0.3198
C1902d2TS273_4  00        00        00        00        0        0        00        00        00        00        00        0.3336    0.3052
C1902d2TS273_1  00        00        00        00        0        0        00        00        00        00        00        0.3312    0.3024
C1902d2TS123_4  00        00        00        00        0        0        00        00        00        00        00        0.2533    0.2443
C1902d2TS067_2  00        00        00        00        0        0        00        00        00        00        00        0.2527    0.2511
C1902d2TS067_3  00        00        00        00        0        0        00        00        00        00        00        0.2414    0.2418
C1902d2TS067_4  00        00        00        00        0        0        00        00        00        00        00        0.2410    0.2422
C1902d2TS049_4  00        00        00        00        0        0        00        00        00        00        00        0.2358    0.2481
C1902d2TS049_2  00        00        00        00        0        0        00        00        00        00        00        0.2327    0.2462
C1902d2TS049_1  00        00        00        00        0        0        00        00        00        00        00        00        0.2641
