model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1904TS131_5  0        0        0.454    0.461    0.473    0.474    0.473    0.478    0.479    0.481     0.394
C1904TS414_2  0        0        0.451    0.459    0.463    0.461    0.460    0.461    0.459    0.459     0.397
C1904TS211_1  0        0        0.450    0.455    0.458    0.456    0.455    0.455    0.453    0.453     0.398
C1904TS152_3  0        0        0.435    0.448    0.454    0.451    0.451    0.454    0.455    0.452     0.374
C1904TS215_4  0        0        0.405    0.404    0.415    0.417    0.418    0.413    0.411    0.416     0.333
C1904TS278_1  0        0        0.402    0.406    0.408    0.412    0.411    0.414    0.412    0.411     0.357
C1904TS278_5  0        0        0.379    0.383    0.385    0.384    0.384    0.384    0.383    0.385     0.346
C1904TS405_5  0        0        0.336    0.341    0.345    0.343    0.345    0.346    0.346    0.345     0.314
C1904TS131_1  0        0        0        0.464    0.478    0.478    0.476    0.479    0.478    0.480     0.394
C1904TS131_3  0        0        0        0.462    0.480    0.481    0.481    0.485    0.484    0.484     0.396
C1904TS414_5  0        0        0        0.450    0.455    0.453    0.453    0.454    0.452    0.451     0.394
C1904TS369_4  0        0        0        0.450    0.451    0.448    0.447    0.448    0.446    0.445     0.382
C1904TS413_2  0        0        0        0.447    0.452    0.457    0.454    0.455    0.453    0.452     0.376
C1904TS247_1  0        0        0        0.374    0.376    0.375    0.375    0.375    0.374    0.374     0.337
C1904TS405_2  0        0        0        0.340    0.344    0.342    0.347    0.348    0.348    0.347     0.313
C1904TS414_4  0        0        0        0        0.461    0.459    0.460    0.461    0.459    0.458     [0.401]
C1904TS210_1  0        0        0        0        0.412    0.412    0.411    0.412    0.412    0.411     0.358
C1904TS405_4  0        0        0        0        0.349    0.347    0.353    0.353    0.352    0.351     0.316
C1904TS210_3  0        0        0        0        0        0.421    0.419    0.419    0.418    0.417     0.361
C1904TS230_2  0        0        0        0        0        0.287    0.287    0.288    0.293    0.293     0.274
C1904TS230_5  0        0        0        0        0        0.286    0.286    0.288    0.288    0.288     0.275
C1904TS414_3  0        0        0        0        0        0        0.452    0.453    0.451    0.451     0.396
C1904TS369_3  0        0        0        0        0        0        0.428    0.429    0.428    0.427     0.373
C1904TS210_2  0        0        0        0        0        0        0.421    0.425    0.427    0.428     0.365
C1904TS196_1  0        0        0        0        0        0        0.373    0.374    0.373    0.373     0.336
C1904TS369_5  0        0        0        0        0        0        0        0.454    0.451    0.451     0.387
C1904TS414_1  0        0        0        0        0        0        0        0.433    0.432    0.431     0.375
C1904TS278_3  0        0        0        0        0        0        0        0.387    0.386    0.388     0.349
C1904TS230_3  0        0        0        0        0        0        0        0.289    0.289    0.293     0.277
C1904TS087_1  0        0        0        0        0        0        0        0        0.426    0.425     0.367
C1904TS240_4  0        0        0        0        0        0        0        0        0        0         0.361
C1904TS240_2  0        0        0        0        0        0        0        0        0        0         0.353
C1904TS240_1  0        0        0        0        0        0        0        0        0        0         0.351
C1904TS240_3  0        0        0        0        0        0        0        0        0        0         0.348
C1904TS240_5  0        0        0        0        0        0        0        0        0        0         0.346
C1904TS152_5  0        0        0        0        0        0        0        0        0        0         0.345
C1904TS247_3  0        0        0        0        0        0        0        0        0        0         0.342
C1904TS309_4  0        0        0        0        0        0        0        0        0        0         0.342
C1904TS309_1  0        0        0        0        0        0        0        0        0        0         0.342
C1904TS404_1  0        0        0        0        0        0        0        0        0        0         0.342
C1904TS359_1  0        0        0        0        0        0        0        0        0        0         0.341
C1904TS247_4  0        0        0        0        0        0        0        0        0        0         0.339
C1904TS389_1  0        0        0        0        0        0        0        0        0        0         0.339
C1904TS389_2  0        0        0        0        0        0        0        0        0        0         0.335
C1904TS247_2  0        0        0        0        0        0        0        0        0        0         0.335
C1904TS247_5  0        0        0        0        0        0        0        0        0        0         0.334
C1904TS389_3  0        0        0        0        0        0        0        0        0        0         0.325
C1904TS182_1  0        0        0        0        0        0        0        0        0        0         0.314
C1904TS182_3  0        0        0        0        0        0        0        0        0        0         0.313
C1904TS003_1  0        0        0        0        0        0        0        0        0        0         0.311
C1904TS490_1  0        0        0        0        0        0        0        0        0        0         0.310
C1904TS182_5  0        0        0        0        0        0        0        0        0        0         0.307
C1904TS152_4  0        0        0        0        0        0        0        0        0        0         0.306
C1904TS211_5  0        0        0        0        0        0        0        0        0        0         0.304
C1904TS347_1  0        0        0        0        0        0        0        0        0        0         0.303
C1904TS309_5  0        0        0        0        0        0        0        0        0        0         0.302
C1904TS003_2  0        0        0        0        0        0        0        0        0        0         0.302
C1904TS211_3  0        0        0        0        0        0        0        0        0        0         0.301
C1904TS258_1  0        0        0        0        0        0        0        0        0        0         0.299
C1904TS003_3  0        0        0        0        0        0        0        0        0        0         0.297
C1904TS211_2  0        0        0        0        0        0        0        0        0        0         0.296
C1904TS200_1  0        0        0        0        0        0        0        0        0        0         0.294
C1904TS211_4  0        0        0        0        0        0        0        0        0        0         0.292
C1904TS158_1  0        0        0        0        0        0        0        0        0        0         0.291
C1904TS258_4  0        0        0        0        0        0        0        0        0        0         0.291
C1904TS103_1  0        0        0        0        0        0        0        0        0        0         0.290
C1904TS123_5  0        0        0        0        0        0        0        0        0        0         0.289
C1904TS123_1  0        0        0        0        0        0        0        0        0        0         0.288
C1904TS123_2  0        0        0        0        0        0        0        0        0        0         0.288
C1904TS309_3  0        0        0        0        0        0        0        0        0        0         0.287
C1904TS123_4  0        0        0        0        0        0        0        0        0        0         0.286
C1904TS158_2  0        0        0        0        0        0        0        0        0        0         0.285
C1904TS158_3  0        0        0        0        0        0        0        0        0        0         0.284
C1904TS258_3  0        0        0        0        0        0        0        0        0        0         0.284
C1904TS158_5  0        0        0        0        0        0        0        0        0        0         0.282
C1904TS067_4  0        0        0        0        0        0        0        0        0        0         0.280
C1904TS258_2  0        0        0        0        0        0        0        0        0        0         0.278
C1904TS230_4  0        0        0        0        0        0        0        0        0        0         0.277
C1904TS230_1  0        0        0        0        0        0        0        0        0        0         0.275
C1904TS258_5  0        0        0        0        0        0        0        0        0        0         0.268
C1904TS389_5  0        0        0        0        0        0        0        0        0        0         0.266
C1904TS309_2  0        0        0        0        0        0        0        0        0        0         0.263
C1904TS389_4  0        0        0        0        0        0        0        0        0        0         0.263
C1904TS158_4  0        0        0        0        0        0        0        0        0        0         0.262
C1904TS067_2  0        0        0        0        0        0        0        0        0        0         0.257
C1904TS182_4  0        0        0        0        0        0        0        0        0        0         0.254
C1904TS067_1  0        0        0        0        0        0        0        0        0        0         0.252
C1904TS066_1  0        0        0        0        0        0        0        0        0        0         0.249
C1904TS182_2  0        0        0        0        0        0        0        0        0        0         0.249
C1904TS273_4  0        0        0        0        0        0        0        0        0        0         0.228
C1904TS273_5  0        0        0        0        0        0        0        0        0        0         0.225
C1904TS067_5  0        0        0        0        0        0        0        0        0        0         0.224
C1904TS102_1  0        0        0        0        0        0        0        0        0        0         0.220
