model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top20  cs_top50  cs_all
C1904d1TS240_2  0        0        0        0        0        0        0        0        0        0.392     0.402     0.416     0.377
C1904d1TS347_2  0        0        0        0        0        0        0        0        0        0.340     0.346     0.350     0.334
C1904d1TS073_4  0        0        0        0        0        0        0        0        0        0.321     0.332     0.340     0.317
C1904d1TS258_2  0        0        0        0        0        0        0        0        0        0         0.433     0.428     0.385
C1904d1TS258_4  0        0        0        0        0        0        0        0        0        0         0.413     0.419     0.382
C1904d1TS258_5  0        0        0        0        0        0        0        0        0        0         0.398     0.411     0.375
C1904d1TS215_3  0        0        0        0        0        0        0        0        0        0         0.389     0.398     0.363
C1904d1TS240_3  0        0        0        0        0        0        0        0        0        0         0.388     0.402     0.367
C1904d1TS215_5  0        0        0        0        0        0        0        0        0        0         0.356     0.357     0.344
C1904d1TS103_2  0        0        0        0        0        0        0        0        0        0         0.310     0.314     0.308
C1904d1TS121_2  0        0        0        0        0        0        0        0        0        0         0.290     0.294     0.281
C1904d1TS049_4  0        0        0        0        0        0        0        0        0        0         0.231     0.236     0.257
C1904d1TS404_1  0        0        0        0        0        0        0        0        0        0         0         0.414     0.395
C1904d1TS258_1  0        0        0        0        0        0        0        0        0        0         0         0.409     0.377
C1904d1TS215_2  0        0        0        0        0        0        0        0        0        0         0         0.382     0.358
C1904d1TS123_5  0        0        0        0        0        0        0        0        0        0         0         0.362     0.337
C1904d1TS215_4  0        0        0        0        0        0        0        0        0        0         0         0.346     0.333
C1904d1TS347_3  0        0        0        0        0        0        0        0        0        0         0         0.312     0.304
C1904d1TS067_1  0        0        0        0        0        0        0        0        0        0         0         0.306     0.303
C1904d1TS067_3  0        0        0        0        0        0        0        0        0        0         0         0.304     0.303
C1904d1TS049_1  0        0        0        0        0        0        0        0        0        0         0         0.248     0.266
C1904d1TS049_2  0        0        0        0        0        0        0        0        0        0         0         0.235     0.257
C1904d1TS067_2  0        0        0        0        0        0        0        0        0        0         0         0         0.307
C1904d1TS003_1  0        0        0        0        0        0        0        0        0        0         0         0         0.285
C1904d1TS049_3  0        0        0        0        0        0        0        0        0        0         0         0         0.254
C1904d1TS049_5  0        0        0        0        0        0        0        0        0        0         0         0         0.248
