model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1906d2TS405_4  0        0.505    0.496    0.481    0.494    0.505    0.510    0.509    0.509    0.510     0.525     0.532     0.540     0.538     0.535     0.530     0.522     0.517
C1906d2TS432_1  0        0.498    0.500    0.483    0.488    0.490    0.490    0.485    0.484    0.483     0.475     0.469     0.468     0.465     0.462     0.461     0.458     0.454
C1906d2TS405_5  0        0.497    0.490    0.477    0.487    0.498    0.504    0.506    0.507    0.507     0.524     0.536     0.542     0.539     0.539     0.534     0.525     0.518
C1906d2TS438_1  0        0        0.514    0.508    0.521    0.526    0.527    0.528    0.524    0.522     0.524     0.529     0.541     0.543     0.539     0.534     0.528     0.522
C1906d2TS240_2  0        0        0.438    0.428    0.431    0.433    0.434    0.433    0.433    0.433     0.435     0.434     0.435     0.436     0.438     0.439     0.441     0.442
C1906d2TS131_4  0        0        0.423    0.411    0.408    0.406    0.410    0.406    0.410    0.413     0.419     0.419     0.420     0.418     0.422     0.425     0.427     0.426
C1906d2TS215_2  0        0        0.399    0.390    0.395    0.394    0.393    0.391    0.392    0.394     0.396     0.393     0.394     0.395     0.396     0.395     0.394     0.393
C1906d2TS438_3  0        0        0        0.508    0.521    0.526    0.529    0.530    0.526    0.524     0.527     0.530     0.542     0.543     0.539     0.534     0.528     0.522
C1906d2TS438_4  0        0        0        0.505    0.518    0.523    0.524    0.525    0.521    0.519     0.523     0.528     0.541     0.543     0.538     0.533     0.527     0.521
C1906d2TS215_5  0        0        0        0.416    0.445    0.442    0.438    0.435    0.443    0.441     0.440     0.438     0.439     0.439     0.437     0.435     0.432     0.428
C1906d2TS131_5  0        0        0        0.404    0.402    0.400    0.402    0.399    0.402    0.404     0.411     0.411     0.413     0.412     0.416     0.420     0.421     0.421
C1906d2TS345_1  0        0        0        0.298    0.296    0.302    0.300    0.311    0.309    0.307     0.305     0.302     0.299     0.300     0.298     0.297     0.298     0.299
C1906d2TS345_4  0        0        0        0.288    0.285    0.285    0.285    0.285    0.285    0.284     0.289     0.296     0.296     0.295     0.295     0.294     0.294     0.295
C1906d2TS438_2  0        0        0        0        0.524    0.531    0.531    0.532    0.528    0.525     0.529     0.534     0.547     0.548     0.543     0.537     0.531     0.525
C1906d2TS438_5  0        0        0        0        0.524    0.529    0.530    0.532    0.528    0.526     0.528     0.533     0.545     0.546     0.542     0.537     [0.532]   [0.526]
C1906d2TS210_2  0        0        0        0        0.475    0.492    0.500    0.499    0.499    0.498     0.514     0.529     0.531     0.528     0.525     0.519     0.511     0.504
C1906d2TS210_1  0        0        0        0        0        0.508    0.522    0.526    0.527    0.525     0.537     0.546     0.553     [0.549]   [0.546]   [0.540]   0.531     0.524
C1906d2TS405_2  0        0        0        0        0        0.492    0.500    0.499    0.499    0.498     0.514     0.529     0.531     0.528     0.525     0.519     0.511     0.504
C1906d2TS258_2  0        0        0        0        0        0.466    0.466    0.464    0.463    0.463     0.462     0.462     0.465     0.469     0.469     0.469     0.465     0.463
C1906d2TS405_1  0        0        0        0        0        0        0.522    0.526    0.527    0.525     0.537     0.546     0.553     [0.549]   [0.546]   [0.540]   0.531     0.524
C1906d2TS010_5  0        0        0        0        0        0        0.357    0.357    0.356    0.356     0.361     0.365     0.369     0.369     0.371     0.371     0.370     0.371
C1906d2TS345_3  0        0        0        0        0        0        0.316    0.317    0.317    0.322     0.325     0.328     0.329     0.328     0.328     0.327     0.329     0.329
C1906d2TS210_3  0        0        0        0        0        0        0        0.510    0.514    0.515     0.527     0.536     0.544     0.540     0.538     0.534     0.525     0.518
C1906d2TS228_5  0        0        0        0        0        0        0        0.463    0.461    0.460     0.461     0.460     0.463     0.464     0.465     0.465     0.463     0.464
C1906d2TS258_1  0        0        0        0        0        0        0        0        0.525    0.524     0.534     0.535     0.540     0.536     0.532     0.527     0.521     0.516
C1906d2TS405_3  0        0        0        0        0        0        0        0        0.514    0.515     0.527     0.536     0.544     0.540     0.538     0.534     0.525     0.518
C1906d2TS240_5  0        0        0        0        0        0        0        0        0.427    0.426     0.429     0.428     0.429     0.429     0.432     0.432     0.433     0.436
C1906d2TS215_1  0        0        0        0        0        0        0        0        0.413    0.414     0.415     0.416     0.418     0.419     0.419     0.420     0.419     0.417
C1906d2TS131_2  0        0        0        0        0        0        0        0        0.406    0.410     0.415     0.413     0.415     0.413     0.417     0.420     0.422     0.421
C1906d2TS210_5  0        0        0        0        0        0        0        0        0        0         0.524     0.536     0.542     0.539     0.539     0.534     0.525     0.518
C1906d2TS240_3  0        0        0        0        0        0        0        0        0        0         0.445     0.445     0.446     0.449     0.450     0.450     0.450     0.452
C1906d2TS240_4  0        0        0        0        0        0        0        0        0        0         0.444     0.444     0.445     0.446     0.449     0.449     0.450     0.451
C1906d2TS215_3  0        0        0        0        0        0        0        0        0        0         0.426     0.429     0.430     0.429     0.427     0.427     0.424     0.423
C1906d2TS240_1  0        0        0        0        0        0        0        0        0        0         0.421     0.420     0.422     0.425     0.428     0.429     0.430     0.431
C1906d2TS131_3  0        0        0        0        0        0        0        0        0        0         0.412     0.409     0.411     0.411     0.415     0.418     0.420     0.420
C1906d2TS345_2  0        0        0        0        0        0        0        0        0        0         0.314     0.318     0.318     0.322     0.321     0.321     0.323     0.324
C1906d2TS258_3  0        0        0        0        0        0        0        0        0        0         0         0.502     0.507     0.505     0.504     0.500     0.496     0.493
C1906d2TS010_2  0        0        0        0        0        0        0        0        0        0         0         0.361     0.362     0.363     0.364     0.365     0.365     0.365
C1906d2TS010_1  0        0        0        0        0        0        0        0        0        0         0         0.356     0.359     0.359     0.359     0.360     0.360     0.360
C1906d2TS010_4  0        0        0        0        0        0        0        0        0        0         0         0.296     0.298     0.300     0.303     0.306     0.308     0.308
C1906d2TS258_5  0        0        0        0        0        0        0        0        0        0         0         0         0.469     0.469     0.470     0.467     0.463     0.461
C1906d2TS123_1  0        0        0        0        0        0        0        0        0        0         0         0         0.299     0.299     0.299     0.299     0.299     0.298
C1906d2TS228_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0.476     0.477     0.481     0.481     0.485
C1906d2TS228_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0.473     0.474     0.479     0.479     0.484
C1906d2TS228_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0.473     0.473     0.478     0.478     0.483
C1906d2TS258_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0.462     0.464     0.467     0.463     0.462
C1906d2TS228_2  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.474     0.479     0.479     0.484
C1906d2TS347_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.279     0.280     0.280     0.280
C1906d2TS010_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.332     0.334     0.334
C1906d2TS003_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.325     0.325     0.325
C1906d2TS347_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.284     0.284
C1906d2TS346_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.260
