C1908x2TS003_1 C1908x2TS026_1 C1908x2TS026_2 C1908x2TS049_1 C1908x2TS049_2 C1908x2TS049_3 C1908x2TS049_4 C1908x2TS049_5 C1908x2TS067_1 C1908x2TS067_2 C1908x2TS067_3 C1908x2TS067_4 C1908x2TS067_5 C1908x2TS073_1 C1908x2TS073_2 C1908x2TS073_3 C1908x2TS073_4 C1908x2TS073_5 C1908x2TS103_1 C1908x2TS103_2 C1908x2TS103_3 C1908x2TS123_1 C1908x2TS123_2 C1908x2TS123_3 C1908x2TS123_4 C1908x2TS123_5 C1908x2TS131_1 C1908x2TS131_2 C1908x2TS131_3 C1908x2TS131_4 C1908x2TS131_5 C1908x2TS179_1 C1908x2TS210_1 C1908x2TS210_2 C1908x2TS210_3 C1908x2TS210_4 C1908x2TS210_5 C1908x2TS215_1 C1908x2TS215_2 C1908x2TS215_3 C1908x2TS215_4 C1908x2TS215_5 C1908x2TS228_1 C1908x2TS228_2 C1908x2TS228_3 C1908x2TS228_4 C1908x2TS228_5 C1908x2TS270_1 C1908x2TS345_1 C1908x2TS345_2 C1908x2TS345_3 C1908x2TS345_4 C1908x2TS345_5 C1908x2TS389_1 C1908x2TS389_2 C1908x2TS389_3 C1908x2TS389_4 C1908x2TS389_5 C1908x2TS404_1 C1908x2TS404_2 C1908x2TS404_3 C1908x2TS404_4 C1908x2TS404_5 C1908x2TS405_1 C1908x2TS405_2 C1908x2TS405_3 C1908x2TS405_4 C1908x2TS405_5 C1908x2TS432_1
0.2468 0.0674 0.0917 0.1944 0.1302 0.1572 0.1451 0.1240 0.2284 0.2415 0.2242 0.2269 0.2148 0.2513 0.2463 0.2463 0.2520 0.2527 0.2719 0.2644 1 0.2053 0.2073 0.2799 0.2799 0.2799 0.2363 0.2459 0.2462 0.2290 0.2319 0.2378 0.2419 0.2460 0.2502 0.2500 0.2363 0.2320 0.2721 0.2244 0.2287 0.2140 0.2413 0.2315 0.2139 0.2453 0.2136 0.2270 0.2463 0.2328 0.2150 0.2186 0.2549 0.2423 0.2301 0.2388 0.2216 0.2457 0.2039 0.1994 0.1961 0.1961 0.2033 0.2419 0.2460 0.2502 0.2500 0.2363 0.2094
0.2150 0.0669 0.0880 0.1812 0.1178 0.1694 0.1590 0.1301 0.1964 0.2275 0.1948 0.1966 0.1931 0.2734 0.2850 0.2804 0.2724 0.2724 0.2299 0.2417 0.1545 1 0.2474 0.2376 0.2376 0.2376 0.2195 0.2201 0.2185 0.2094 0.2171 0.2997 0.2643 0.2648 0.2611 0.2573 0.2527 0.2459 0.2793 0.3147 0.2615 0.2610 0.2788 0.2916 0.2828 0.2822 0.2708 0.2952 0.2688 0.3062 0.2983 0.2902 0.2921 0.3015 0.2924 0.2925 0.2814 0.3025 0.1910 0.1889 0.1862 0.1796 0.1990 0.2643 0.2648 0.2611 0.2573 0.2527 0.2425
0.1813 0.0656 0.0818 0.1650 0.1042 0.1483 0.1347 0.1272 0.1557 0.1988 0.1566 0.1592 0.1516 0.2803 0.2669 0.2495 0.2765 0.2659 0.1908 0.2116 0.1390 0.2226 1 0.2239 0.2239 0.2239 0.2157 0.2187 0.2181 0.2141 0.2165 0.3062 0.2669 0.2649 0.2702 0.2638 0.2678 0.2444 0.2445 0.2349 0.2305 0.2355 0.2722 0.2985 0.2829 0.3103 0.3165 0.3038 0.2539 0.2290 0.2337 0.2183 0.2551 0.3313 0.3302 0.3246 0.3141 0.3435 0.1516 0.1482 0.1553 0.1441 0.1566 0.2669 0.2649 0.2702 0.2638 0.2678 0.2446
0.2367 0.0862 0.1106 0.1730 0.1259 0.1776 0.1652 0.1436 0.1952 0.2148 0.1966 0.2043 0.1895 0.2923 0.3025 0.3006 0.3143 0.2984 0.2466 0.2718 0.2122 0.2427 0.2530 1 1.0000 1.0000 0.2738 0.2805 0.2743 0.2633 0.2749 0.3179 0.3241 0.3157 0.3154 0.3172 0.2965 0.3079 0.3334 0.3073 0.2879 0.3099 0.2805 0.2899 0.2938 0.2719 0.2671 0.3196 0.2723 0.2805 0.2664 0.2563 0.2800 0.2969 0.2900 0.2989 0.2813 0.3060 0.2249 0.2279 0.2214 0.2261 0.2235 0.3241 0.3157 0.3154 0.3172 0.2965 0.2886
0.2367 0.0862 0.1106 0.1730 0.1259 0.1776 0.1652 0.1436 0.1952 0.2148 0.1966 0.2043 0.1895 0.2923 0.3025 0.3006 0.3143 0.2984 0.2466 0.2718 0.2122 0.2427 0.2530 1.0000 1 1.0000 0.2738 0.2805 0.2743 0.2633 0.2749 0.3179 0.3241 0.3157 0.3154 0.3172 0.2965 0.3079 0.3334 0.3073 0.2879 0.3099 0.2805 0.2899 0.2938 0.2719 0.2671 0.3196 0.2723 0.2805 0.2664 0.2563 0.2800 0.2969 0.2900 0.2989 0.2813 0.3060 0.2249 0.2279 0.2214 0.2261 0.2235 0.3241 0.3157 0.3154 0.3172 0.2965 0.2886
0.2367 0.0862 0.1106 0.1730 0.1259 0.1776 0.1652 0.1436 0.1952 0.2148 0.1966 0.2043 0.1895 0.2923 0.3025 0.3006 0.3143 0.2984 0.2466 0.2718 0.2122 0.2427 0.2530 1.0000 1.0000 1 0.2738 0.2805 0.2743 0.2633 0.2749 0.3179 0.3241 0.3157 0.3154 0.3172 0.2965 0.3079 0.3334 0.3073 0.2879 0.3099 0.2805 0.2899 0.2938 0.2719 0.2671 0.3196 0.2723 0.2805 0.2664 0.2563 0.2800 0.2969 0.2900 0.2989 0.2813 0.3060 0.2249 0.2279 0.2214 0.2261 0.2235 0.3241 0.3157 0.3154 0.3172 0.2965 0.2886
0.2014 0.0729 0.0936 0.1604 0.1040 0.1371 0.1209 0.1195 0.1848 0.1950 0.1864 0.1949 0.1770 0.2945 0.2855 0.2798 0.2802 0.2877 0.2813 0.2105 0.1783 0.2173 0.2372 0.2722 0.2722 0.2722 1 0.6920 0.6286 0.4965 0.5746 0.3006 0.3299 0.3213 0.3130 0.3232 0.3183 0.2369 0.3231 0.2813 0.2704 0.2514 0.3242 0.3352 0.2682 0.3093 0.2960 0.3089 0.2238 0.2323 0.2228 0.2104 0.2450 0.3126 0.3061 0.3103 0.2850 0.3240 0.1768 0.1767 0.1691 0.1695 0.1793 0.3299 0.3213 0.3130 0.3232 0.3183 0.2644
0.1981 0.0741 0.0957 0.1580 0.1039 0.1382 0.1204 0.1168 0.1824 0.1943 0.1854 0.1956 0.1750 0.3025 0.2967 0.2903 0.2879 0.2903 0.2783 0.2164 0.1846 0.2161 0.2395 0.2754 0.2754 0.2754 0.6841 1 0.7148 0.5288 0.6116 0.3006 0.3259 0.3206 0.3110 0.3228 0.3174 0.2477 0.3330 0.2867 0.2734 0.2577 0.3309 0.3464 0.2666 0.3141 0.2909 0.3065 0.2252 0.2292 0.2236 0.2067 0.2520 0.3152 0.3081 0.3163 0.2911 0.3287 0.1798 0.1798 0.1718 0.1729 0.1827 0.3259 0.3206 0.3110 0.3228 0.3174 0.2686
0.2003 0.0729 0.0947 0.1582 0.1057 0.1372 0.1216 0.1195 0.1827 0.1924 0.1842 0.1949 0.1757 0.2936 0.2927 0.2809 0.2826 0.2869 0.2814 0.2156 0.1843 0.2142 0.2395 0.2691 0.2691 0.2691 0.6231 0.7104 1 0.5395 0.6019 0.2958 0.3211 0.3161 0.3050 0.3164 0.3114 0.2457 0.3202 0.2810 0.2639 0.2576 0.3130 0.3283 0.2656 0.3051 0.2872 0.3034 0.2257 0.2279 0.2228 0.2060 0.2479 0.3052 0.2971 0.3065 0.2824 0.3166 0.1771 0.1765 0.1692 0.1701 0.1810 0.3211 0.3161 0.3050 0.3164 0.3114 0.2648
0.2141 0.0734 0.0937 0.1569 0.1118 0.1352 0.1196 0.1141 0.1830 0.1931 0.1870 0.1969 0.1771 0.2933 0.2908 0.2844 0.2963 0.2906 0.2838 0.2128 0.1752 0.2102 0.2415 0.2638 0.2638 0.2638 0.4975 0.5396 0.5490 1 0.5724 0.2998 0.3238 0.3245 0.3149 0.3312 0.3124 0.2355 0.2966 0.2599 0.2484 0.2599 0.3105 0.3220 0.2668 0.2981 0.2895 0.2949 0.2224 0.2166 0.2345 0.2118 0.2491 0.3068 0.2988 0.3045 0.2782 0.3165 0.1772 0.1795 0.1696 0.1707 0.1793 0.3238 0.3245 0.3149 0.3312 0.3124 0.2538
0.1992 0.0739 0.0947 0.1662 0.1117 0.1345 0.1230 0.1167 0.1814 0.1988 0.1828 0.1955 0.1738 0.2970 0.2937 0.2875 0.2878 0.2857 0.2809 0.2134 0.1767 0.2173 0.2423 0.2768 0.2768 0.2768 0.5780 0.6233 0.6162 0.5720 1 0.3024 0.3223 0.3200 0.3149 0.3261 0.3198 0.2337 0.3183 0.2778 0.2607 0.2484 0.3066 0.3162 0.2588 0.3037 0.2917 0.3092 0.2178 0.2274 0.2256 0.2105 0.2471 0.3016 0.2962 0.3036 0.2789 0.3139 0.1740 0.1747 0.1680 0.1681 0.1778 0.3223 0.3200 0.3149 0.3261 0.3198 0.2640
0.1843 0.0639 0.0802 0.1616 0.1094 0.1458 0.1257 0.1162 0.1720 0.1812 0.1704 0.1780 0.1680 0.2883 0.2826 0.2815 0.2956 0.2864 0.1841 0.2178 0.1339 0.2287 0.2552 0.2299 0.2299 0.2299 0.2224 0.2239 0.2204 0.2184 0.2216 1 0.2790 0.2828 0.2840 0.2743 0.2814 0.2689 0.2770 0.2544 0.2678 0.2502 0.2990 0.2909 0.3148 0.2992 0.2903 0.2612 0.2360 0.2596 0.2305 0.2491 0.2597 0.3037 0.3010 0.3063 0.2893 0.3123 0.1584 0.1559 0.1598 0.1563 0.1559 0.2790 0.2828 0.2840 0.2743 0.2814 0.2646
0.2132 0.0784 0.0992 0.1763 0.1343 0.1783 0.1391 0.1391 0.1973 0.2097 0.1946 0.1976 0.1898 0.3411 0.3246 0.3001 0.3267 0.3071 0.2296 0.2613 0.1700 0.2487 0.2798 0.2964 0.2964 0.2964 0.3058 0.3038 0.3013 0.2951 0.2971 0.3474 1 0.7431 0.5645 0.5480 0.5001 0.3274 0.3597 0.3416 0.3305 0.3162 0.4032 0.3751 0.3751 0.3627 0.3762 0.3848 0.2651 0.3047 0.2959 0.2974 0.2989 0.3942 0.3899 0.3953 0.3750 0.4065 0.2091 0.2057 0.2134 0.2080 0.2074 1.0000 0.7431 0.5645 0.5480 0.5001 0.3154
0.2153 0.0809 0.1015 0.1843 0.1343 0.1785 0.1390 0.1388 0.2015 0.2181 0.1984 0.2028 0.1919 0.3485 0.3398 0.3110 0.3320 0.3165 0.2382 0.2596 0.1773 0.2557 0.2839 0.2974 0.2974 0.2974 0.3060 0.3075 0.3053 0.3036 0.3032 0.3603 0.7567 1 0.5935 0.5933 0.4996 0.3304 0.3684 0.3395 0.3345 0.3162 0.4237 0.3974 0.3839 0.3787 0.3851 0.3943 0.2744 0.3012 0.2951 0.3043 0.3058 0.4044 0.4002 0.4005 0.3836 0.4154 0.2131 0.2106 0.2163 0.2114 0.2116 0.7567 1.0000 0.5935 0.5933 0.4996 0.3224
0.2153 0.0839 0.1063 0.1943 0.1372 0.1820 0.1459 0.1429 0.2038 0.2091 0.2009 0.2054 0.1976 0.3593 0.3529 0.3165 0.3348 0.3352 0.2362 0.2606 0.1824 0.2567 0.2902 0.2982 0.2982 0.2982 0.2993 0.3011 0.2962 0.2972 0.3006 0.3643 0.5884 0.6059 1 0.6690 0.6571 0.3257 0.3661 0.3289 0.3161 0.3166 0.4010 0.3893 0.3829 0.4036 0.4248 0.3909 0.2713 0.2889 0.2965 0.2827 0.3158 0.4422 0.4470 0.4434 0.4268 0.4611 0.2117 0.2109 0.2175 0.2105 0.2101 0.5884 0.6059 1.0000 0.6690 0.6571 0.3305
0.2201 0.0857 0.1086 0.1918 0.1372 0.1771 0.1414 0.1398 0.2081 0.2082 0.2066 0.2113 0.2025 0.3541 0.3577 0.3186 0.3420 0.3372 0.2502 0.2569 0.1857 0.2561 0.2880 0.3064 0.3064 0.3064 0.3155 0.3187 0.3131 0.3188 0.3173 0.3602 0.5772 0.6116 0.6862 1 0.6122 0.3261 0.3683 0.3275 0.3119 0.3170 0.4075 0.3998 0.3856 0.4093 0.4348 0.3933 0.2803 0.2874 0.2926 0.2838 0.3154 0.4484 0.4451 0.4439 0.4207 0.4607 0.2220 0.2181 0.2246 0.2197 0.2197 0.5772 0.6116 0.6862 1.0000 0.6122 0.3347
