C1905x2TS003_1 C1905x2TS049_1 C1905x2TS049_2 C1905x2TS049_3 C1905x2TS049_4 C1905x2TS049_5 C1905x2TS067_1 C1905x2TS067_2 C1905x2TS067_3 C1905x2TS067_4 C1905x2TS067_5 C1905x2TS073_1 C1905x2TS073_2 C1905x2TS073_3 C1905x2TS073_4 C1905x2TS073_5 C1905x2TS103_1 C1905x2TS121_1 C1905x2TS121_2 C1905x2TS123_1 C1905x2TS123_2 C1905x2TS123_3 C1905x2TS123_4 C1905x2TS123_5 C1905x2TS215_1 C1905x2TS215_2 C1905x2TS215_3 C1905x2TS215_4 C1905x2TS215_5 C1905x2TS228_1 C1905x2TS389_1 C1905x2TS389_2 C1905x2TS389_3 C1905x2TS389_4 C1905x2TS389_5
0.1879 0.0365 0.0435 0.0536 0.0492 0.0567 0.1933 0.1841 0.1905 0.1936 0.1936 0.2100 0.2179 0.2286 0.2313 0.2228 0.1999 0.2003 0.0894 0.1973 0.1958 0.2200 1 1.0000 0.2102 0.2327 0.2235 0.2286 0.2111 0.2388 0.2366 0.2306 0.2342 0.2398 0.2082
0.1879 0.0365 0.0435 0.0536 0.0492 0.0567 0.1933 0.1841 0.1905 0.1936 0.1936 0.2100 0.2179 0.2286 0.2313 0.2228 0.1999 0.2003 0.0894 0.1973 0.1958 0.2200 1.0000 1 0.2102 0.2327 0.2235 0.2286 0.2111 0.2388 0.2366 0.2306 0.2342 0.2398 0.2082
0.1660 0.0333 0.0437 0.0538 0.0465 0.0513 0.1670 0.1673 0.1642 0.1598 0.1598 0.2227 0.2283 0.2323 0.2193 0.2239 0.1787 0.1777 0.0787 0.2003 0.1996 0.2257 0.2005 0.2005 1 0.2932 0.2790 0.2433 0.2391 0.2451 0.2095 0.2119 0.2157 0.2051 0.2297
0.1724 0.0336 0.0421 0.0508 0.0479 0.0498 0.1872 0.1696 0.1856 0.1686 0.1686 0.2305 0.2432 0.2417 0.2418 0.2360 0.1906 0.1962 0.0835 0.2077 0.2005 0.2378 0.2176 0.2176 0.2861 1 0.2876 0.2520 0.2737 0.2532 0.2338 0.2269 0.2249 0.2216 0.2334
0.1646 0.0343 0.0423 0.0513 0.0464 0.0532 0.1840 0.1818 0.1816 0.1785 0.1785 0.2316 0.2372 0.2323 0.2328 0.2340 0.1831 0.1872 0.0831 0.1968 0.1986 0.2431 0.2145 0.2145 0.2811 0.2942 1 0.2818 0.2526 0.2456 0.2208 0.2159 0.2152 0.2153 0.2235
0.1885 0.0344 0.0431 0.0532 0.0446 0.0533 0.1881 0.1947 0.1832 0.1969 0.1969 0.2268 0.2279 0.2400 0.2257 0.2294 0.1901 0.1866 0.0856 0.1916 0.1872 0.2287 0.2213 0.2213 0.2466 0.2614 0.2856 1 0.2357 0.2470 0.2331 0.2287 0.2278 0.2301 0.2188
0.1847 0.0348 0.0448 0.0528 0.0476 0.0514 0.1891 0.1723 0.1858 0.1743 0.1743 0.2389 0.2355 0.2293 0.2428 0.2421 0.1849 0.1985 0.0827 0.1954 0.2066 0.2358 0.2056 0.2056 0.2427 0.2856 0.2582 0.2383 1 0.2570 0.2322 0.2317 0.2345 0.2294 0.2343
0.2287 0.0438 0.0563 0.0677 0.0619 0.0681 0.2544 0.2545 0.2508 0.2401 0.2401 0.3024 0.3219 0.3217 0.3204 0.3075 0.2537 0.2412 0.1132 0.2623 0.2628 0.2990 0.2910 0.2910 0.3132 0.3296 0.3126 0.3111 0.3211 1 0.3431 0.3267 0.3327 0.3328 0.3310
0.2272 0.0387 0.0509 0.0619 0.0554 0.0597 0.2421 0.2411 0.2383 0.2296 0.2296 0.3045 0.3070 0.3168 0.3224 0.3129 0.2273 0.2337 0.1015 0.2532 0.2459 0.2954 0.2729 0.2729 0.2554 0.2918 0.2664 0.2808 0.2788 0.3276 1 0.4640 0.4676 0.4666 0.2804
0.2081 0.0358 0.0460 0.0560 0.0487 0.0542 0.2190 0.2103 0.2142 0.2028 0.2028 0.2780 0.2738 0.2892 0.2963 0.2927 0.2092 0.2169 0.0917 0.2345 0.2208 0.2650 0.2504 0.2504 0.2413 0.2645 0.2424 0.2585 0.2586 0.2927 0.4325 1 0.3945 0.5189 0.2670
0.2164 0.0369 0.0482 0.0585 0.0512 0.0571 0.2310 0.2259 0.2280 0.2165 0.2165 0.2842 0.2736 0.2835 0.2852 0.2874 0.2138 0.2166 0.0959 0.2276 0.2233 0.2730 0.2565 0.2565 0.2489 0.2644 0.2449 0.2599 0.2644 0.3003 0.4411 0.3958 1 0.4100 0.2853
0.2084 0.0360 0.0482 0.0571 0.0507 0.0571 0.2214 0.2214 0.2183 0.2159 0.2159 0.2783 0.2749 0.2958 0.3029 0.2953 0.2098 0.2165 0.0938 0.2375 0.2319 0.2617 0.2601 0.2601 0.2373 0.2615 0.2442 0.2643 0.2600 0.3023 0.4441 0.5222 0.4155 1 0.2637
0.1900 0.0375 0.0462 0.0565 0.0508 0.0572 0.2220 0.2047 0.2223 0.1929 0.1929 0.2660 0.2777 0.2804 0.2656 0.2690 0.2009 0.2216 0.0955 0.2216 0.2210 0.3008 0.2349 0.2349 0.2727 0.2822 0.2623 0.2577 0.2735 0.3103 0.2711 0.2751 0.2931 0.2686 1
