C1903d1TS003_1 C1903d1TS044_1 C1903d1TS049_1 C1903d1TS049_2 C1903d1TS049_3 C1903d1TS049_4 C1903d1TS049_5 C1903d1TS067_1 C1903d1TS067_2 C1903d1TS067_3 C1903d1TS067_4 C1903d1TS067_5 C1903d1TS073_1 C1903d1TS073_2 C1903d1TS073_3 C1903d1TS073_4 C1903d1TS073_5 C1903d1TS103_1 C1903d1TS121_1 C1903d1TS121_2 C1903d1TS123_1 C1903d1TS123_2 C1903d1TS123_3 C1903d1TS123_4 C1903d1TS123_5 C1903d1TS131_1 C1903d1TS131_2 C1903d1TS131_3 C1903d1TS131_4 C1903d1TS131_5 C1903d1TS210_1 C1903d1TS210_2 C1903d1TS210_3 C1903d1TS210_4 C1903d1TS210_5 C1903d1TS215_1 C1903d1TS215_2 C1903d1TS215_3 C1903d1TS215_4 C1903d1TS215_5 C1903d1TS228_1 C1903d1TS228_2 C1903d1TS228_3 C1903d1TS228_4 C1903d1TS228_5 C1903d1TS240_1 C1903d1TS240_2 C1903d1TS240_3 C1903d1TS240_4 C1903d1TS240_5 C1903d1TS247_1 C1903d1TS247_2 C1903d1TS247_3 C1903d1TS247_4 C1903d1TS247_5 C1903d1TS258_1 C1903d1TS258_2 C1903d1TS258_3 C1903d1TS258_4 C1903d1TS258_5 C1903d1TS270_1 C1903d1TS273_1 C1903d1TS273_2 C1903d1TS273_3 C1903d1TS273_4 C1903d1TS273_5 C1903d1TS301_1 C1903d1TS347_1 C1903d1TS347_2 C1903d1TS347_3 C1903d1TS405_1 C1903d1TS405_2 C1903d1TS405_3 C1903d1TS405_4 C1903d1TS405_5 C1903d1TS438_1 C1903d1TS438_2 C1903d1TS438_3 C1903d1TS438_4 C1903d1TS438_5
0.2540 0.3220 0.0488 0.0629 0.0497 0.0577 0.0787 0.3487 0.3487 0.3487 1 1.0000 0.3246 0.3040 0.2953 0.3062 0.3241 0.2867 0.2999 0.2018 0.3128 0.2947 0.2947 0.2947 0.2789 0.3143 0.3085 0.3098 0.3130 0.3101 0.2968 0.2975 0.2994 0.3176 0.3095 0.3101 0.2880 0.2954 0.2997 0.3002 0.3089 0.3057 0.3068 0.3106 0.2842 0.3350 0.3252 0.3261 0.3221 0.3289 0.2847 0.2833 0.2884 0.2887 0.2422 0.3356 0.3136 0.3163 0.3194 0.3199 0.3262 0.3250 0.3351 0.3346 0.3352 0.3310 0.3220 0.3189 0.3149 0.2911 0.2968 0.2975 0.2994 0.3022 0.3012 0.3117 0.1754 0.2136 0.2254 0.3111
0.2540 0.3220 0.0488 0.0629 0.0497 0.0577 0.0787 0.3487 0.3487 0.3487 1.0000 1 0.3246 0.3040 0.2953 0.3062 0.3241 0.2867 0.2999 0.2018 0.3128 0.2947 0.2947 0.2947 0.2789 0.3143 0.3085 0.3098 0.3130 0.3101 0.2968 0.2975 0.2994 0.3176 0.3095 0.3101 0.2880 0.2954 0.2997 0.3002 0.3089 0.3057 0.3068 0.3106 0.2842 0.3350 0.3252 0.3261 0.3221 0.3289 0.2847 0.2833 0.2884 0.2887 0.2422 0.3356 0.3136 0.3163 0.3194 0.3199 0.3262 0.3250 0.3351 0.3346 0.3352 0.3310 0.3220 0.3189 0.3149 0.2911 0.2968 0.2975 0.2994 0.3022 0.3012 0.3117 0.1754 0.2136 0.2254 0.3111
0.2065 0.3069 0.0339 0.0421 0.0312 0.0402 0.0534 0.2609 0.2609 0.2609 0.2129 0.2129 1 0.4024 0.4149 0.4635 0.4700 0.2696 0.2222 0.1424 0.2328 0.2653 0.2653 0.2653 0.2545 0.3272 0.3218 0.3227 0.3224 0.3233 0.2615 0.2473 0.2495 0.2947 0.3075 0.2842 0.2671 0.2581 0.3144 0.2919 0.2905 0.2889 0.2898 0.2906 0.2754 0.3242 0.3156 0.3176 0.3065 0.3131 0.3033 0.3158 0.2975 0.2996 0.2646 0.3158 0.3266 0.3254 0.3166 0.3191 0.2620 0.2914 0.3216 0.3202 0.3203 0.3199 0.3069 0.2734 0.2655 0.2586 0.2615 0.2473 0.2495 0.2524 0.2532 0.3207 0.1780 0.2113 0.2071 0.3206
0.2076 0.3016 0.0355 0.0440 0.0332 0.0434 0.0568 0.2508 0.2508 0.2508 0.2051 0.2051 0.4172 1 0.4205 0.4052 0.4323 0.2777 0.2234 0.1398 0.2322 0.2586 0.2586 0.2586 0.2414 0.3132 0.3105 0.3073 0.3036 0.3069 0.2459 0.2338 0.2344 0.2743 0.2839 0.2679 0.2655 0.2601 0.2960 0.2636 0.2775 0.2763 0.2773 0.2779 0.2677 0.3200 0.3017 0.3021 0.3031 0.3025 0.2915 0.3118 0.2898 0.2899 0.2501 0.3069 0.3135 0.3149 0.2933 0.3069 0.2592 0.2829 0.3063 0.3056 0.3046 0.3035 0.3016 0.2678 0.2753 0.2568 0.2459 0.2338 0.2344 0.2415 0.2397 0.3056 0.1697 0.2008 0.1992 0.3072
0.2058 0.2917 0.0361 0.0443 0.0321 0.0419 0.0578 0.2515 0.2515 0.2515 0.1967 0.1967 0.4195 0.4122 1 0.4123 0.4382 0.2690 0.2227 0.1442 0.2191 0.2584 0.2584 0.2584 0.2451 0.3227 0.3197 0.3179 0.3173 0.3166 0.2536 0.2268 0.2262 0.2735 0.2920 0.2606 0.2481 0.2418 0.2918 0.2587 0.2769 0.2755 0.2769 0.2763 0.2581 0.2990 0.2907 0.2870 0.2891 0.2903 0.2935 0.2984 0.2941 0.2927 0.2565 0.2868 0.3098 0.3033 0.2889 0.2984 0.2484 0.2663 0.2986 0.2978 0.2972 0.2967 0.2917 0.2555 0.2513 0.2584 0.2536 0.2268 0.2262 0.2316 0.2299 0.3003 0.1761 0.1992 0.1951 0.3005
0.2047 0.2908 0.0334 0.0433 0.0325 0.0413 0.0545 0.2472 0.2472 0.2472 0.2022 0.2022 0.4622 0.3918 0.4066 1 0.4711 0.2664 0.2352 0.1469 0.2297 0.2647 0.2647 0.2647 0.2463 0.3263 0.3151 0.3158 0.3165 0.3146 0.2541 0.2302 0.2304 0.2881 0.2989 0.2661 0.2639 0.2479 0.2941 0.2756 0.2833 0.2821 0.2837 0.2831 0.2756 0.3066 0.2964 0.2956 0.2875 0.2905 0.2985 0.2977 0.2968 0.2958 0.2592 0.2957 0.3050 0.3039 0.2948 0.2938 0.2542 0.2882 0.3021 0.3015 0.3018 0.3021 0.2908 0.2645 0.2594 0.2641 0.2541 0.2302 0.2304 0.2360 0.2367 0.3046 0.1738 0.2032 0.2079 0.3037
0.2061 0.2961 0.0337 0.0416 0.0314 0.0399 0.0545 0.2620 0.2620 0.2620 0.2084 0.2084 0.4618 0.4123 0.4270 0.4662 1 0.2813 0.2439 0.1512 0.2381 0.2599 0.2599 0.2599 0.2504 0.3380 0.3327 0.3342 0.3332 0.3318 0.2599 0.2403 0.2439 0.2895 0.3197 0.2704 0.2602 0.2528 0.3122 0.2867 0.2867 0.2867 0.2878 0.2869 0.2768 0.3173 0.3127 0.3123 0.3024 0.3068 0.3027 0.3216 0.3037 0.2999 0.2645 0.3085 0.3243 0.3162 0.3119 0.3105 0.2687 0.2817 0.3197 0.3197 0.3187 0.3177 0.2961 0.2777 0.2701 0.2550 0.2599 0.2403 0.2439 0.2468 0.2460 0.3205 0.1776 0.2089 0.2043 0.3184
0.1603 0.2069 0.0270 0.0329 0.0238 0.0300 0.0412 0.1872 0.1872 0.1872 0.1568 0.1568 0.2212 0.2193 0.2168 0.2169 0.2353 1 0.1896 0.1219 0.2011 0.2095 0.2095 0.2095 0.1923 0.2549 0.2496 0.2495 0.2471 0.2481 0.2092 0.1870 0.1858 0.2077 0.2225 0.2025 0.2148 0.2196 0.2150 0.1967 0.2131 0.2130 0.2140 0.2133 0.2094 0.2115 0.2115 0.2151 0.2122 0.2123 0.2220 0.2307 0.2221 0.2199 0.1961 0.2115 0.2201 0.2190 0.2108 0.2215 0.2043 0.2155 0.2320 0.2325 0.2319 0.2314 0.2069 0.2002 0.2022 0.2145 0.2092 0.1870 0.1858 0.1859 0.1889 0.2211 0.1242 0.1382 0.1439 0.2209
0.2051 0.2543 0.0386 0.0453 0.0314 0.0423 0.0562 0.2385 0.2385 0.2385 0.2161 0.2161 0.2434 0.2376 0.2400 0.2553 0.2705 0.2513 1 0.2932 0.2681 0.2585 0.2585 0.2585 0.2395 0.2994 0.2902 0.2966 0.2944 0.2950 0.3059 0.2340 0.2339 0.2735 0.2833 0.2764 0.2573 0.2472 0.2714 0.2691 0.2810 0.2794 0.2802 0.2825 0.2521 0.2405 0.2462 0.2465 0.2457 0.2403 0.2587 0.2626 0.2565 0.2517 0.2351 0.2826 0.2811 0.2820 0.2656 0.2603 0.2699 0.2951 0.2698 0.2693 0.2679 0.2675 0.2543 0.2834 0.2918 0.2573 0.3059 0.2340 0.2339 0.2342 0.2372 0.2793 0.1429 0.1726 0.1788 0.2774
0.2156 0.2751 0.0415 0.0509 0.0340 0.0458 0.0615 0.2742 0.2742 0.2742 0.2311 0.2311 0.2565 0.2424 0.2512 0.2621 0.2746 0.2653 0.4887 1 0.2832 0.2798 0.2798 0.2798 0.2493 0.3112 0.3042 0.3117 0.3079 0.3083 0.3174 0.2541 0.2525 0.2914 0.3023 0.2893 0.2683 0.2616 0.2797 0.2721 0.2945 0.2932 0.2941 0.2961 0.2703 0.2653 0.2612 0.2683 0.2630 0.2598 0.2597 0.2735 0.2616 0.2575 0.2334 0.2986 0.3049 0.3008 0.2822 0.2789 0.2822 0.3008 0.2888 0.2882 0.2894 0.2874 0.2751 0.3080 0.3123 0.2642 0.3174 0.2541 0.2525 0.2535 0.2571 0.3039 0.1573 0.1857 0.1941 0.3021
0.1953 0.2672 0.0350 0.0432 0.0302 0.0381 0.0529 0.2667 0.2667 0.2667 0.2266 0.2266 0.2581 0.2518 0.2386 0.2526 0.2684 0.2754 0.2748 0.1752 1 0.2772 0.2772 0.2772 0.2466 0.2933 0.2909 0.2928 0.2921 0.2952 0.2803 0.2710 0.2664 0.2922 0.2934 0.2659 0.2864 0.2964 0.2734 0.2919 0.2681 0.2672 0.2682 0.2685 0.2607 0.2642 0.2679 0.2646 0.2596 0.2607 0.2490 0.2685 0.2624 0.2617 0.2181 0.2929 0.2807 0.2875 0.2947 0.2759 0.3323 0.2830 0.3020 0.3002 0.2986 0.2990 0.2672 0.2967 0.2909 0.2574 0.2803 0.2710 0.2664 0.2693 0.2665 0.2886 0.1503 0.1849 0.1904 0.2888
0.2270 0.3024 0.0398 0.0481 0.0357 0.0449 0.0595 0.2685 0.2685 0.2685 0.2248 0.2248 0.3048 0.2913 0.2947 0.3031 0.3077 0.2969 0.2758 0.1813 0.2892 1 1.0000 1.0000 0.3125 0.3451 0.3436 0.3384 0.3436 0.3384 0.2921 0.2683 0.2704 0.3227 0.3230 0.3197 0.2780 0.2948 0.2964 0.3036 0.2959 0.2960 0.2986 0.2951 0.2841 0.3007 0.3082 0.3010 0.2986 0.3057 0.3021 0.3020 0.3135 0.3129 0.2705 0.2968 0.2904 0.3068 0.3060 0.2935 0.3172 0.3106 0.3063 0.3056 0.3066 0.3060 0.3024 0.3089 0.3089 0.2901 0.2921 0.2683 0.2704 0.2701 0.2804 0.2990 0.1863 0.2109 0.2166 0.3012
0.2270 0.3024 0.0398 0.0481 0.0357 0.0449 0.0595 0.2685 0.2685 0.2685 0.2248 0.2248 0.3048 0.2913 0.2947 0.3031 0.3077 0.2969 0.2758 0.1813 0.2892 1.0000 1 1.0000 0.3125 0.3451 0.3436 0.3384 0.3436 0.3384 0.2921 0.2683 0.2704 0.3227 0.3230 0.3197 0.2780 0.2948 0.2964 0.3036 0.2959 0.2960 0.2986 0.2951 0.2841 0.3007 0.3082 0.3010 0.2986 0.3057 0.3021 0.3020 0.3135 0.3129 0.2705 0.2968 0.2904 0.3068 0.3060 0.2935 0.3172 0.3106 0.3063 0.3056 0.3066 0.3060 0.3024 0.3089 0.3089 0.2901 0.2921 0.2683 0.2704 0.2701 0.2804 0.2990 0.1863 0.2109 0.2166 0.3012
0.2270 0.3024 0.0398 0.0481 0.0357 0.0449 0.0595 0.2685 0.2685 0.2685 0.2248 0.2248 0.3048 0.2913 0.2947 0.3031 0.3077 0.2969 0.2758 0.1813 0.2892 1.0000 1.0000 1 0.3125 0.3451 0.3436 0.3384 0.3436 0.3384 0.2921 0.2683 0.2704 0.3227 0.3230 0.3197 0.2780 0.2948 0.2964 0.3036 0.2959 0.2960 0.2986 0.2951 0.2841 0.3007 0.3082 0.3010 0.2986 0.3057 0.3021 0.3020 0.3135 0.3129 0.2705 0.2968 0.2904 0.3068 0.3060 0.2935 0.3172 0.3106 0.3063 0.3056 0.3066 0.3060 0.3024 0.3089 0.3089 0.2901 0.2921 0.2683 0.2704 0.2701 0.2804 0.2990 0.1863 0.2109 0.2166 0.3012
0.1862 0.2680 0.0329 0.0406 0.0317 0.0369 0.0519 0.2258 0.2258 0.2258 0.1937 0.1937 0.2687 0.2475 0.2562 0.2582 0.2715 0.2512 0.2342 0.1473 0.2360 0.2865 0.2865 0.2865 1 0.2947 0.2919 0.2876 0.2888 0.2875 0.2778 0.2577 0.2570 0.2867 0.2837 0.2841 0.2524 0.2520 0.2601 0.2640 0.2710 0.2710 0.2731 0.2704 0.2578 0.2637 0.2517 0.2543 0.2460 0.2437 0.2645 0.2664 0.2725 0.2716 0.2181 0.2671 0.2715 0.2869 0.2847 0.2603 0.2613 0.2897 0.2921 0.2896 0.2879 0.2915 0.2680 0.2662 0.2670 0.2671 0.2778 0.2577 0.2570 0.2583 0.2537 0.2714 0.1452 0.1800 0.1704 0.2729
0.1983 0.3392 0.0313 0.0388 0.0291 0.0353 0.0474 0.2537 0.2537 0.2537 0.1984 0.1984 0.3127 0.2918 0.3049 0.3087 0.3300 0.2971 0.2629 0.1635 0.2544 0.2835 0.2835 0.2835 0.2658 1 0.7013 0.7698 0.7626 0.7630 0.3086 0.2981 0.3015 0.3285 0.3596 0.2941 0.2782 0.2579 0.3096 0.2778 0.2878 0.2870 0.2903 0.2858 0.2809 0.2998 0.2926 0.2882 0.2880 0.2917 0.3215 0.3143 0.3340 0.3305 0.2875 0.3296 0.3475 0.3287 0.3378 0.3525 0.2615 0.2942 0.3038 0.3028 0.3027 0.3039 0.3392 0.2766 0.2935 0.2528 0.3086 0.2981 0.3015 0.2993 0.2916 0.3542 0.1696 0.1941 0.1974 0.3549
0.1957 0.3296 0.0309 0.0383 0.0297 0.0362 0.0481 0.2466 0.2466 0.2466 0.1942 0.1942 0.3065 0.2886 0.3010 0.2968 0.3235 0.2904 0.2542 0.1601 0.2516 0.2807 0.2807 0.2807 0.2628 0.6995 1 0.7102 0.6982 0.7026 0.3091 0.2945 0.2941 0.3260 0.3612 0.2912 0.2684 0.2598 0.3046 0.2686 0.2829 0.2824 0.2852 0.2810 0.2710 0.2999 0.2864 0.2832 0.2849 0.2858 0.3110 0.3091 0.3305 0.3236 0.2792 0.3185 0.3433 0.3246 0.3298 0.3540 0.2633 0.2884 0.2982 0.2976 0.2963 0.2971 0.3296 0.2743 0.2893 0.2445 0.3091 0.2945 0.2941 0.2937 0.2880 0.3506 0.1658 0.1887 0.1943 0.3510
0.1958 0.3283 0.0318 0.0391 0.0294 0.0365 0.0488 0.2487 0.2487 0.2487 0.1960 0.1960 0.3088 0.2861 0.3002 0.2987 0.3261 0.2916 0.2611 0.1639 0.2552 0.2775 0.2775 0.2775 0.2599 0.7733 0.7139 1 0.8084 0.8504 0.3041 0.2949 0.2966 0.3165 0.3503 0.2902 0.2716 0.2550 0.3100 0.2722 0.2847 0.2838 0.2862 0.2835 0.2742 0.2899 0.2858 0.2825 0.2791 0.2858 0.3110 0.3051 0.3236 0.3179 0.2801 0.3226 0.3425 0.3205 0.3246 0.3460 0.2579 0.2881 0.2952 0.2957 0.2944 0.2948 0.3283 0.2750 0.2903 0.2457 0.3041 0.2949 0.2966 0.2952 0.2900 0.3464 0.1691 0.1910 0.1943 0.3471
0.1961 0.3280 0.0315 0.0394 0.0302 0.0369 0.0490 0.2533 0.2533 0.2533 0.1996 0.1996 0.3098 0.2837 0.3005 0.3004 0.3273 0.2907 0.2607 0.1629 0.2553 0.2838 0.2838 0.2838 0.2619 0.7692 0.7045 0.8091 1 0.7892 0.3042 0.2985 0.2997 0.3265 0.3527 0.2922 0.2723 0.2599 0.3117 0.2735 0.2863 0.2858 0.2891 0.2847 0.2772 0.2963 0.2899 0.2865 0.2852 0.2911 0.3198 0.3078 0.3289 0.3229 0.2859 0.3238 0.3478 0.3272 0.3296 0.3495 0.2615 0.2926 0.2981 0.2975 0.2958 0.2980 0.3280 0.2781 0.2899 0.2508 0.3042 0.2985 0.2997 0.2999 0.2939 0.3470 0.1700 0.1932 0.1968 0.3467
0.1962 0.3313 0.0315 0.0393 0.0298 0.0373 0.0491 0.2517 0.2517 0.2517 0.1981 0.1981 0.3121 0.2887 0.3021 0.2998 0.3267 0.2918 0.2621 0.1620 0.2591 0.2800 0.2800 0.2800 0.2618 0.7700 0.7101 0.8541 0.7919 1 0.3046 0.2976 0.3023 0.3252 0.3537 0.2929 0.2728 0.2558 0.3114 0.2708 0.2825 0.2821 0.2842 0.2801 0.2751 0.2919 0.2873 0.2854 0.2815 0.2886 0.3171 0.3087 0.3261 0.3197 0.2853 0.3273 0.3461 0.3245 0.3259 0.3528 0.2620 0.2883 0.2997 0.2992 0.2972 0.2983 0.3313 0.2756 0.2923 0.2475 0.3046 0.2976 0.3023 0.2982 0.2953 0.3530 0.1685 0.1925 0.1954 0.3544
