C1901x2TS003_1 C1901x2TS049_1 C1901x2TS049_2 C1901x2TS049_3 C1901x2TS049_4 C1901x2TS049_5 C1901x2TS067_1 C1901x2TS067_2 C1901x2TS067_3 C1901x2TS067_4 C1901x2TS067_5 C1901x2TS123_1 C1901x2TS123_2 C1901x2TS123_3 C1901x2TS123_4 C1901x2TS123_5 C1901x2TS215_1 C1901x2TS215_2 C1901x2TS215_3 C1901x2TS215_4 C1901x2TS215_5 C1901x2TS228_1 C1901x2TS369_1 C1901x2TS389_1 C1901x2TS389_2 C1901x2TS389_3 C1901x2TS389_4 C1901x2TS389_5
0.1833 0.0436 0.0464 0.0509 0.0544 0.0471 0.7746 0.6891 0.2472 0.6391 1 0.1765 0.1533 0.1464 0.1928 0.1928 0.1873 0.1943 0.1954 0.1991 0.1951 0.2038 0.1917 0.2076 0.2051 0.2065 0.2020 0.2039
0.1703 0.0408 0.0463 0.0503 0.0525 0.0456 0.1612 0.1342 0.1512 0.1571 0.1789 1 0.1560 0.1596 0.3485 0.3485 0.1857 0.1978 0.1962 0.1996 0.1978 0.2039 0.1936 0.2080 0.2066 0.2095 0.2151 0.2113
0.2552 0.0735 0.0792 0.0909 0.0960 0.0800 0.2584 0.2078 0.2339 0.2503 0.2743 0.2767 1 0.3300 0.3035 0.3035 0.3086 0.2978 0.3115 0.3211 0.3216 0.3386 0.3244 0.3416 0.3342 0.3554 0.3329 0.3234
0.2787 0.0837 0.0906 0.1050 0.1093 0.0942 0.2709 0.2207 0.2679 0.2664 0.3062 0.3317 0.3859 1 0.3594 0.3594 0.3199 0.3232 0.3279 0.3440 0.3409 0.3599 0.3417 0.3436 0.3402 0.3414 0.3496 0.3493
0.1536 0.0369 0.0407 0.0444 0.0485 0.0411 0.1486 0.1214 0.1499 0.1430 0.1648 0.2998 0.1452 0.1473 1 1.0000 0.1744 0.1788 0.1758 0.1915 0.1882 0.1772 0.1740 0.1889 0.1890 0.1889 0.1934 0.1903
0.1536 0.0369 0.0407 0.0444 0.0485 0.0411 0.1486 0.1214 0.1499 0.1430 0.1648 0.2998 0.1452 0.1473 1.0000 1 0.1744 0.1788 0.1758 0.1915 0.1882 0.1772 0.1740 0.1889 0.1890 0.1889 0.1934 0.1903
0.1441 0.0335 0.0362 0.0419 0.0432 0.0361 0.1412 0.1129 0.1263 0.1384 0.1458 0.1437 0.1339 0.1189 0.1589 0.1589 1 0.2511 0.2388 0.2435 0.2342 0.1955 0.2017 0.2047 0.2079 0.2049 0.2161 0.2097
0.1597 0.0346 0.0382 0.0428 0.0443 0.0381 0.1513 0.1254 0.1307 0.1479 0.1580 0.1581 0.1334 0.1246 0.1682 0.1682 0.2590 1 0.3471 0.2749 0.2672 0.2242 0.2287 0.2365 0.2396 0.2375 0.2596 0.2513
0.1597 0.0354 0.0383 0.0432 0.0447 0.0391 0.1538 0.1285 0.1354 0.1531 0.1562 0.1544 0.1384 0.1253 0.1628 0.1628 0.2444 0.3452 1 0.2729 0.2711 0.2384 0.2453 0.2569 0.2570 0.2584 0.2812 0.2787
0.1569 0.0346 0.0388 0.0430 0.0449 0.0381 0.1562 0.1275 0.1339 0.1529 0.1571 0.1552 0.1408 0.1296 0.1761 0.1761 0.2461 0.2695 0.2697 1 0.6309 0.2032 0.2172 0.2221 0.2296 0.2245 0.2314 0.2283
0.1596 0.0347 0.0392 0.0435 0.0454 0.0388 0.1563 0.1284 0.1368 0.1536 0.1579 0.1586 0.1448 0.1324 0.1777 0.1777 0.2432 0.2690 0.2753 0.6448 1 0.2080 0.2220 0.2254 0.2323 0.2284 0.2357 0.2341
0.1897 0.0439 0.0474 0.0525 0.0554 0.0470 0.1839 0.1498 0.1658 0.1764 0.1985 0.1970 0.1842 0.1683 0.2021 0.2021 0.2450 0.2716 0.2907 0.2508 0.2505 1 0.3034 0.3203 0.3136 0.3222 0.3247 0.3179
0.1958 0.0452 0.0478 0.0546 0.0570 0.0498 0.1957 0.1660 0.1693 0.1909 0.2110 0.2094 0.1964 0.1775 0.2227 0.2227 0.2845 0.3161 0.3384 0.3019 0.3003 0.3440 1 0.3976 0.3871 0.3993 0.3898 0.3888
0.2066 0.0458 0.0476 0.0541 0.0574 0.0501 0.2004 0.1702 0.1760 0.1953 0.2138 0.2143 0.1963 0.1706 0.2279 0.2279 0.2718 0.3040 0.3348 0.2912 0.2879 0.3423 0.3760 1 0.5909 0.6135 0.4366 0.4424
0.1659 0.0367 0.0383 0.0444 0.0475 0.0395 0.1620 0.1362 0.1461 0.1572 0.1722 0.1718 0.1552 0.1368 0.1855 0.1855 0.2246 0.2511 0.2719 0.2449 0.2409 0.2731 0.2968 0.4810 1 0.4616 0.3537 0.3578
0.1693 0.0377 0.0390 0.0450 0.0473 0.0410 0.1638 0.1390 0.1450 0.1598 0.1751 0.1769 0.1674 0.1390 0.1875 0.1875 0.2242 0.2517 0.2772 0.2414 0.2396 0.2832 0.3108 0.5060 0.4687 1 0.3558 0.3618
0.2016 0.0426 0.0474 0.0529 0.0536 0.0471 0.1831 0.1584 0.1687 0.1816 0.1976 0.2084 0.1819 0.1641 0.2219 0.2219 0.2733 0.3152 0.3454 0.2881 0.2857 0.3291 0.3487 0.4124 0.4106 0.4074 1 0.4788
0.2083 0.0455 0.0491 0.0550 0.0574 0.0497 0.1962 0.1664 0.1818 0.1941 0.2087 0.2142 0.1850 0.1715 0.2271 0.2271 0.2777 0.3201 0.3588 0.2955 0.2954 0.3370 0.3653 0.4367 0.4337 0.4337 0.5020 1
