C1906x2TS003_1 C1906x2TS044_1 C1906x2TS049_1 C1906x2TS049_2 C1906x2TS049_3 C1906x2TS049_4 C1906x2TS049_5 C1906x2TS067_1 C1906x2TS067_2 C1906x2TS067_3 C1906x2TS067_4 C1906x2TS067_5 C1906x2TS073_1 C1906x2TS073_2 C1906x2TS073_3 C1906x2TS073_4 C1906x2TS073_5 C1906x2TS121_1 C1906x2TS121_2 C1906x2TS123_1 C1906x2TS123_2 C1906x2TS123_3 C1906x2TS123_4 C1906x2TS123_5 C1906x2TS215_1 C1906x2TS215_2 C1906x2TS215_3 C1906x2TS215_4 C1906x2TS215_5 C1906x2TS228_1 C1906x2TS301_1 C1906x2TS301_2 C1906x2TS389_1 C1906x2TS389_2 C1906x2TS389_3 C1906x2TS389_4 C1906x2TS389_5
0.2544 0.2911 0.0570 0.0630 0.0651 0.0821 0.0660 0.2676 0.6952 0.2676 1 0.6952 0.2959 0.2951 0.2881 0.2979 0.2940 0.2896 0.1558 0.2464 0.2516 0.2231 0.2298 0.2490 0.2817 0.2725 0.2547 0.2621 0.2855 0.2871 0.2911 0.2911 0.3005 0.3010 0.3049 0.3068 0.3055
0.2365 0.2499 0.0539 0.0582 0.0612 0.0764 0.0634 0.2536 1.0000 0.2536 0.6512 1 0.2596 0.2583 0.2560 0.2660 0.2584 0.2593 0.1419 0.2277 0.2259 0.2090 0.2124 0.2390 0.2546 0.2415 0.2386 0.2324 0.2562 0.2464 0.2499 0.2499 0.2635 0.2649 0.2698 0.2658 0.2660
0.2312 0.3706 0.0410 0.0399 0.0491 0.0608 0.0490 0.2115 0.2043 0.2115 0.2183 0.2043 1 0.4380 0.4108 0.4676 0.4494 0.2320 0.1130 0.2398 0.2378 0.2762 0.2606 0.2264 0.3491 0.3271 0.3401 0.3040 0.3461 0.3828 0.3706 0.3706 0.3811 0.3914 0.4070 0.4055 0.4067
0.2155 0.3362 0.0373 0.0397 0.0472 0.0591 0.0462 0.2038 0.1894 0.2038 0.2020 0.1894 0.4056 1 0.4185 0.4008 0.3927 0.2333 0.1112 0.2284 0.2350 0.2615 0.2505 0.2178 0.3513 0.3206 0.3323 0.2988 0.3506 0.3645 0.3362 0.3361 0.3398 0.3537 0.3798 0.3757 0.3772
0.2232 0.3631 0.0408 0.0398 0.0470 0.0611 0.0471 0.2020 0.1947 0.2020 0.2044 0.1947 0.3937 0.4292 1 0.4191 0.4104 0.2263 0.1069 0.2300 0.2380 0.2638 0.2442 0.2204 0.3417 0.3224 0.3378 0.3076 0.3475 0.3560 0.3631 0.3631 0.3419 0.3585 0.3719 0.3654 0.3667
0.2331 0.3688 0.0407 0.0415 0.0486 0.0595 0.0496 0.2037 0.2066 0.2037 0.2166 0.2066 0.4580 0.4256 0.4288 1 0.4493 0.2268 0.1123 0.2195 0.2341 0.2630 0.2439 0.2239 0.3541 0.3282 0.3451 0.3009 0.3473 0.3751 0.3688 0.3688 0.3678 0.3776 0.3877 0.3815 0.3841
0.2307 0.3623 0.0434 0.0425 0.0501 0.0605 0.0504 0.2088 0.2047 0.2088 0.2177 0.2047 0.4476 0.4237 0.4316 0.4574 1 0.2263 0.1108 0.2326 0.2406 0.2649 0.2454 0.2269 0.3486 0.3305 0.3408 0.2915 0.3380 0.3851 0.3623 0.3623 0.3606 0.3717 0.4021 0.3933 0.3941
0.1977 0.2544 0.0422 0.0450 0.0494 0.0609 0.0511 0.2209 0.2218 0.2209 0.2317 0.2218 0.2518 0.2717 0.2558 0.2505 0.2450 1 0.2047 0.2224 0.2149 0.2003 0.2049 0.2077 0.2668 0.2471 0.2355 0.2433 0.2515 0.2416 0.2544 0.2544 0.2473 0.2468 0.2596 0.2563 0.2571
0.2148 0.2694 0.0459 0.0474 0.0508 0.0653 0.0535 0.2329 0.2497 0.2329 0.2544 0.2497 0.2680 0.2841 0.2739 0.2685 0.2659 0.4655 1 0.2409 0.2388 0.2237 0.2185 0.2347 0.2832 0.2602 0.2518 0.2569 0.2691 0.2618 0.2694 0.2694 0.2660 0.2700 0.2812 0.2844 0.2831
0.1924 0.2318 0.0400 0.0403 0.0469 0.0594 0.0477 0.1955 0.1782 0.1955 0.1812 0.1782 0.2433 0.2482 0.2393 0.2261 0.2324 0.2078 0.1051 1 0.2206 0.2016 0.2020 0.2231 0.2334 0.2282 0.2354 0.2321 0.2353 0.2260 0.2318 0.2318 0.2371 0.2423 0.2486 0.2470 0.2480
0.1969 0.2360 0.0395 0.0402 0.0469 0.0615 0.0467 0.1869 0.1756 0.1869 0.1819 0.1756 0.2352 0.2534 0.2470 0.2366 0.2396 0.1930 0.0960 0.2166 1 0.2007 0.1943 0.2586 0.2220 0.2475 0.2425 0.2356 0.2295 0.2339 0.2360 0.2360 0.2401 0.2444 0.2492 0.2518 0.2502
0.1846 0.2602 0.0335 0.0343 0.0405 0.0531 0.0427 0.1781 0.1582 0.1781 0.1590 0.1582 0.2691 0.2712 0.2639 0.2600 0.2561 0.1781 0.0884 0.1950 0.1986 1 0.3860 0.1909 0.2763 0.2680 0.2667 0.2314 0.2705 0.2605 0.2602 0.2602 0.2658 0.2740 0.2768 0.2758 0.2760
0.1765 0.2500 0.0332 0.0333 0.0393 0.0510 0.0417 0.1690 0.1576 0.1690 0.1601 0.1576 0.2611 0.2666 0.2560 0.2489 0.2456 0.1803 0.0898 0.1924 0.1922 0.3960 1 0.1869 0.2656 0.2540 0.2610 0.2251 0.2616 0.2518 0.2500 0.2500 0.2555 0.2656 0.2678 0.2669 0.2673
0.2070 0.2353 0.0400 0.0411 0.0499 0.0617 0.0517 0.2067 0.1925 0.2067 0.1877 0.1925 0.2321 0.2397 0.2333 0.2340 0.2296 0.1953 0.1024 0.2279 0.2691 0.2018 0.1921 1 0.2297 0.2270 0.2371 0.2206 0.2304 0.2295 0.2353 0.2353 0.2407 0.2395 0.2431 0.2437 0.2464
0.2082 0.3816 0.0368 0.0377 0.0434 0.0554 0.0449 0.2149 0.1825 0.2149 0.1892 0.1825 0.3168 0.3415 0.3226 0.3283 0.3164 0.2238 0.1095 0.2101 0.2030 0.2593 0.2386 0.2044 1 0.3524 0.3493 0.3016 0.3807 0.3739 0.3816 0.3816 0.3218 0.3244 0.3317 0.3310 0.3306
0.2075 0.3279 0.0369 0.0362 0.0421 0.0566 0.0436 0.2066 0.1748 0.2066 0.1853 0.1748 0.3028 0.3181 0.3082 0.3074 0.3017 0.2115 0.1013 0.2089 0.2298 0.2546 0.2399 0.2049 0.3588 1 0.3911 0.3361 0.3595 0.3322 0.3279 0.3279 0.2990 0.3028 0.2954 0.2950 0.2947
0.2081 0.3618 0.0378 0.0356 0.0435 0.0568 0.0450 0.1990 0.1770 0.1990 0.1766 0.1770 0.3147 0.3343 0.3292 0.3260 0.3158 0.2055 0.0975 0.2187 0.2291 0.2560 0.2465 0.2171 0.3643 0.3978 1 0.3586 0.3769 0.3626 0.3618 0.3618 0.3063 0.3119 0.3193 0.3182 0.3205
0.2083 0.3319 0.0359 0.0365 0.0442 0.0574 0.0447 0.2019 0.1704 0.2019 0.1792 0.1704 0.2838 0.3012 0.3004 0.2862 0.2703 0.2096 0.1011 0.2153 0.2224 0.2227 0.2182 0.2021 0.3122 0.3442 0.3546 1 0.3430 0.3162 0.3319 0.3319 0.2871 0.2903 0.2977 0.2950 0.2974
0.2099 0.3978 0.0366 0.0375 0.0438 0.0566 0.0447 0.2176 0.1886 0.2176 0.1976 0.1886 0.3229 0.3517 0.3382 0.3312 0.3149 0.2187 0.1057 0.2194 0.2174 0.2579 0.2485 0.2117 0.3931 0.3645 0.3699 0.3412 1 0.3596 0.3978 0.3978 0.3224 0.3254 0.3283 0.3293 0.3307
0.2779 0.5465 0.0479 0.0485 0.0567 0.0737 0.0575 0.2391 0.2358 0.2391 0.2571 0.2358 0.4560 0.4679 0.4485 0.4583 0.4598 0.2706 0.1342 0.2739 0.2854 0.3220 0.3127 0.2728 0.4978 0.4344 0.4673 0.4119 0.4679 1 0.5465 0.5465 0.4893 0.4963 0.5215 0.5243 0.5192
0.2816 1.0000 0.0461 0.0470 0.0547 0.0708 0.0553 0.2643 0.2226 0.2643 0.2423 0.2226 0.4112 0.4012 0.4228 0.4167 0.4005 0.2671 0.1248 0.2623 0.2706 0.3000 0.2911 0.2611 0.4713 0.4011 0.4314 0.3989 0.4796 0.5028 1 1.0000 0.4800 0.4853 0.4979 0.4970 0.4992
0.2802 1.0000 0.0459 0.0466 0.0543 0.0705 0.0552 0.2640 0.2219 0.2640 0.2413 0.2219 0.4092 0.3991 0.4217 0.4150 0.3990 0.2658 0.1241 0.2610 0.2690 0.2989 0.2901 0.2602 0.4703 0.4006 0.4305 0.3984 0.4792 0.5010 1.0000 1 0.4789 0.4832 0.4958 0.4952 0.4976
0.2969 0.5084 0.0480 0.0491 0.0565 0.0723 0.0581 0.2496 0.2456 0.2496 0.2617 0.2456 0.4452 0.4292 0.4217 0.4417 0.4230 0.2720 0.1313 0.2816 0.2904 0.3216 0.3098 0.2810 0.4151 0.3861 0.3882 0.3665 0.4067 0.4790 0.5084 0.5084 1 0.7129 0.5791 0.5896 0.5875
0.2802 0.4861 0.0456 0.0455 0.0545 0.0684 0.0536 0.2359 0.2331 0.2359 0.2477 0.2331 0.4337 0.4233 0.4194 0.4290 0.4140 0.2567 0.1262 0.2725 0.2784 0.3152 0.3043 0.2647 0.3964 0.3690 0.3742 0.3496 0.3891 0.4590 0.4861 0.4861 0.6773 1 0.5712 0.5745 0.5758
0.2735 0.4911 0.0438 0.0437 0.0525 0.0642 0.0523 0.2379 0.2321 0.2379 0.2458 0.2321 0.4408 0.4418 0.4233 0.4315 0.4332 0.2609 0.1270 0.2709 0.2756 0.3066 0.2994 0.2594 0.3954 0.3502 0.3693 0.3494 0.3855 0.4702 0.4911 0.4911 0.5442 0.5648 1 0.7551 0.7480
0.2727 0.4956 0.0438 0.0441 0.0523 0.0649 0.0536 0.2406 0.2310 0.2406 0.2495 0.2310 0.4453 0.4441 0.4217 0.4298 0.4291 0.2608 0.1286 0.2732 0.2827 0.3099 0.3024 0.2637 0.3987 0.3541 0.3740 0.3501 0.3900 0.4778 0.4956 0.4955 0.5597 0.5745 0.7618 1 0.8455
0.2736 0.4970 0.0436 0.0437 0.0526 0.0649 0.0530 0.2395 0.2308 0.2395 0.2485 0.2308 0.4460 0.4447 0.4219 0.4319 0.4300 0.2616 0.1299 0.2734 0.2796 0.3098 0.3030 0.2657 0.3978 0.3526 0.3754 0.3532 0.3914 0.4732 0.4970 0.4970 0.5557 0.5742 0.7523 0.8432 1
