C1902x2TS003_1 C1902x2TS044_1 C1902x2TS049_1 C1902x2TS049_2 C1902x2TS049_3 C1902x2TS049_4 C1902x2TS049_5 C1902x2TS067_1 C1902x2TS067_2 C1902x2TS067_3 C1902x2TS067_4 C1902x2TS067_5 C1902x2TS123_1 C1902x2TS123_2 C1902x2TS123_3 C1902x2TS123_4 C1902x2TS123_5 C1902x2TS215_1 C1902x2TS215_2 C1902x2TS215_3 C1902x2TS215_4 C1902x2TS215_5 C1902x2TS228_1 C1902x2TS228_2 C1902x2TS228_3 C1902x2TS228_4 C1902x2TS228_5 C1902x2TS258_1 C1902x2TS258_2 C1902x2TS258_3 C1902x2TS258_4 C1902x2TS258_5 C1902x2TS301_1 C1902x2TS369_1 C1902x2TS389_1 C1902x2TS389_2 C1902x2TS389_3 C1902x2TS389_4 C1902x2TS389_5
0.1879 0.2987 0.0383 0.0440 0.0510 0.0530 0.0536 0.2845 0.2845 0.5646 1 0.5646 0.2051 0.2786 0.2061 0.2168 0.2196 0.2703 0.2960 0.2803 0.2744 0.2514 0.2237 0.2480 0.2380 0.2252 0.0975 0.2829 0.2698 0.2843 0.2812 0.2789 0.2987 0.2360 0.3249 0.3243 0.3249 0.3247 0.3283
0.2035 0.2981 0.0400 0.0469 0.0536 0.0558 0.0572 0.3335 0.3335 0.9134 0.6387 1 0.2036 0.2800 0.2085 0.2140 0.2135 0.2746 0.2881 0.2795 0.2779 0.2594 0.2206 0.2472 0.2410 0.2300 0.1007 0.2715 0.2577 0.2660 0.2696 0.2657 0.2981 0.2422 0.3190 0.3213 0.3174 0.3211 0.3212
0.1941 0.2718 0.0378 0.0481 0.0498 0.0549 0.0529 0.1990 0.1990 0.1962 0.2219 0.1962 1 0.4642 0.4136 0.3526 0.4564 0.2285 0.2521 0.2466 0.2362 0.2307 0.2440 0.2662 0.2513 0.2351 0.0983 0.2725 0.2633 0.2669 0.2697 0.2710 0.2718 0.2552 0.2734 0.2589 0.2516 0.2574 0.2606
0.1691 0.2630 0.0307 0.0395 0.0424 0.0462 0.0434 0.1980 0.1980 0.1961 0.2296 0.1961 0.3568 1 0.3029 0.3348 0.3661 0.2293 0.2451 0.2506 0.2291 0.2230 0.2113 0.2382 0.2188 0.2078 0.0852 0.2498 0.2424 0.2493 0.2518 0.2475 0.2630 0.2193 0.2707 0.2642 0.2567 0.2604 0.2658
0.1952 0.2803 0.0378 0.0485 0.0500 0.0562 0.0542 0.2073 0.2073 0.2048 0.2281 0.2048 0.4252 0.4054 1 0.3978 0.4756 0.2438 0.2622 0.2562 0.2392 0.2350 0.2511 0.2716 0.2593 0.2414 0.1027 0.2749 0.2651 0.2681 0.2719 0.2751 0.2803 0.2527 0.2778 0.2643 0.2598 0.2648 0.2708
0.1787 0.2530 0.0344 0.0451 0.0487 0.0513 0.0496 0.1883 0.1883 0.1923 0.2235 0.1923 0.3350 0.4123 0.3658 1 0.3949 0.2230 0.2414 0.2460 0.2226 0.2212 0.2183 0.2447 0.2304 0.2160 0.0881 0.2507 0.2454 0.2489 0.2516 0.2557 0.2530 0.2296 0.2546 0.2441 0.2420 0.2485 0.2506
0.1913 0.2575 0.0391 0.0486 0.0516 0.0556 0.0543 0.1932 0.1932 0.1973 0.2287 0.1973 0.4401 0.4597 0.4492 0.4031 1 0.2304 0.2499 0.2488 0.2257 0.2239 0.2281 0.2559 0.2420 0.2242 0.0959 0.2528 0.2497 0.2537 0.2556 0.2592 0.2575 0.2395 0.2696 0.2554 0.2471 0.2546 0.2567
0.1786 0.2760 0.0297 0.0358 0.0389 0.0446 0.0418 0.1880 0.1880 0.1838 0.2119 0.1838 0.1684 0.2168 0.1737 0.1719 0.1745 1 0.2960 0.2736 0.2715 0.2598 0.2214 0.2407 0.2445 0.2198 0.0926 0.2648 0.2540 0.2661 0.2646 0.2644 0.2760 0.2381 0.2792 0.2888 0.2817 0.2807 0.2873
0.1792 0.3007 0.0308 0.0364 0.0386 0.0444 0.0413 0.1960 0.1960 0.1918 0.2305 0.1918 0.1858 0.2314 0.1882 0.1864 0.1907 0.2955 1 0.3056 0.2761 0.2628 0.2364 0.2484 0.2553 0.2291 0.0978 0.2916 0.2851 0.2974 0.2934 0.2956 0.3007 0.2524 0.3048 0.3065 0.3042 0.3051 0.3132
0.1879 0.3250 0.0301 0.0369 0.0393 0.0434 0.0416 0.1888 0.1888 0.1881 0.2208 0.1881 0.1833 0.2378 0.1861 0.1899 0.1903 0.2759 0.3079 1 0.3147 0.2646 0.2355 0.2604 0.2652 0.2443 0.1018 0.2861 0.2805 0.2863 0.2860 0.2884 0.3250 0.2798 0.2986 0.2923 0.2935 0.2995 0.3046
0.1844 0.2786 0.0295 0.0349 0.0391 0.0424 0.0411 0.1735 0.1735 0.1823 0.2087 0.1823 0.1685 0.2107 0.1676 0.1660 0.1676 0.2641 0.2701 0.3059 1 0.2686 0.2192 0.2389 0.2424 0.2265 0.0941 0.2659 0.2630 0.2628 0.2608 0.2609 0.2786 0.2433 0.2703 0.2694 0.2668 0.2675 0.2705
0.1736 0.2582 0.0308 0.0355 0.0391 0.0448 0.0411 0.1692 0.1692 0.1722 0.1949 0.1722 0.1660 0.2075 0.1653 0.1668 0.1668 0.2554 0.2602 0.2610 0.2719 1 0.2118 0.2295 0.2340 0.2187 0.0888 0.2542 0.2518 0.2527 0.2521 0.2571 0.2582 0.2304 0.2524 0.2585 0.2509 0.2563 0.2628
0.2027 0.3399 0.0316 0.0369 0.0414 0.0451 0.0448 0.1800 0.1800 0.1792 0.2108 0.1792 0.2117 0.2391 0.2135 0.1996 0.2051 0.2653 0.2824 0.2781 0.2642 0.2583 1 0.4190 0.4360 0.4046 0.1475 0.3545 0.3398 0.3427 0.3538 0.3547 0.3399 0.3519 0.3531 0.3371 0.3355 0.3494 0.3454
0.2124 0.3569 0.0332 0.0401 0.0432 0.0485 0.0466 0.1948 0.1948 0.1934 0.2239 0.1934 0.2251 0.2618 0.2248 0.2167 0.2235 0.2746 0.2864 0.2954 0.2808 0.2673 0.4045 1 0.4378 0.4698 0.1564 0.3547 0.3475 0.3563 0.3480 0.3517 0.3569 0.3777 0.3633 0.3476 0.3426 0.3519 0.3505
0.2011 0.3343 0.0320 0.0375 0.0413 0.0463 0.0445 0.1826 0.1826 0.1821 0.2112 0.1821 0.2079 0.2345 0.2107 0.1977 0.2055 0.2704 0.2868 0.2919 0.2768 0.2653 0.4031 0.4243 1 0.4238 0.1550 0.3358 0.3267 0.3354 0.3320 0.3383 0.3343 0.3535 0.3483 0.3318 0.3398 0.3514 0.3435
0.2196 0.3566 0.0339 0.0405 0.0431 0.0480 0.0465 0.1965 0.1965 0.1996 0.2272 0.1996 0.2176 0.2477 0.2188 0.2075 0.2147 0.2765 0.2915 0.3028 0.2894 0.2775 0.4251 0.5186 0.4825 1 0.1679 0.3651 0.3589 0.3638 0.3567 0.3563 0.3566 0.3896 0.3666 0.3534 0.3580 0.3677 0.3702
0.2037 0.3134 0.0310 0.0368 0.0399 0.0458 0.0428 0.1822 0.1822 0.1835 0.2066 0.1835 0.1932 0.2278 0.1951 0.1906 0.1926 0.2537 0.2662 0.2725 0.2649 0.2517 0.3418 0.3763 0.3813 0.3582 1 0.3120 0.2999 0.3099 0.3053 0.3128 0.3134 0.3253 0.3258 0.3138 0.3114 0.3211 0.3173
0.1929 0.3344 0.0303 0.0373 0.0410 0.0447 0.0429 0.1822 0.1822 0.1865 0.2235 0.1865 0.2033 0.2409 0.2002 0.1955 0.1941 0.2656 0.2939 0.2850 0.2765 0.2616 0.2981 0.3133 0.3011 0.2898 0.1133 1 0.5283 0.5675 0.6395 0.5347 0.3344 0.3052 0.3245 0.3326 0.3133 0.3218 0.3308
0.1934 0.3322 0.0309 0.0380 0.0405 0.0448 0.0431 0.1795 0.1795 0.1805 0.2166 0.1805 0.1991 0.2366 0.1958 0.1936 0.1947 0.2600 0.2919 0.2819 0.2761 0.2623 0.2909 0.3096 0.2958 0.2866 0.1094 0.5332 1 0.5536 0.5044 0.4869 0.3322 0.2994 0.3229 0.3296 0.3103 0.3160 0.3289
0.1817 0.3173 0.0293 0.0353 0.0386 0.0428 0.0410 0.1715 0.1715 0.1739 0.2148 0.1739 0.1905 0.2290 0.1868 0.1848 0.1862 0.2557 0.2859 0.2728 0.2593 0.2472 0.2755 0.2993 0.2857 0.2754 0.1072 0.5431 0.5261 1 0.5250 0.4635 0.3173 0.2963 0.3071 0.3160 0.2947 0.3050 0.3145
0.1902 0.3341 0.0303 0.0371 0.0405 0.0444 0.0425 0.1809 0.1809 0.1833 0.2212 0.1833 0.2002 0.2408 0.1974 0.1949 0.1956 0.2637 0.2945 0.2836 0.2679 0.2571 0.2941 0.3047 0.2951 0.2826 0.1104 0.6379 0.4966 0.5457 1 0.5232 0.3341 0.3027 0.3205 0.3304 0.3095 0.3190 0.3326
0.1888 0.3286 0.0300 0.0380 0.0404 0.0445 0.0430 0.1809 0.1809 0.1806 0.2185 0.1806 0.2004 0.2371 0.1995 0.1978 0.1985 0.2645 0.2955 0.2859 0.2683 0.2625 0.2958 0.3084 0.3000 0.2808 0.1112 0.5327 0.4797 0.4823 0.5237 1 0.3286 0.3010 0.3188 0.3330 0.3149 0.3192 0.3336
0.2462 1.0000 0.0383 0.0475 0.0520 0.0577 0.0552 0.2516 0.2516 0.2547 0.3032 0.2547 0.2608 0.3249 0.2625 0.2538 0.2554 0.3609 0.3928 0.4172 0.3724 0.3404 0.3660 0.4008 0.3847 0.3607 0.1448 0.4297 0.4198 0.4266 0.4307 0.4259 1 0.4073 0.4722 0.4431 0.4348 0.4444 0.4500
0.2244 0.3702 0.0344 0.0408 0.0436 0.0497 0.0474 0.1962 0.1962 0.1956 0.2198 0.1956 0.2200 0.2470 0.2144 0.2087 0.2134 0.2808 0.2979 0.3237 0.2902 0.2741 0.3423 0.3822 0.3720 0.3642 0.1406 0.3567 0.3445 0.3616 0.3559 0.3547 0.3702 1 0.3660 0.3626 0.3563 0.3647 0.3737
0.2175 0.4036 0.0333 0.0392 0.0436 0.0482 0.0467 0.2308 0.2308 0.2329 0.2812 0.2329 0.2212 0.2825 0.2204 0.2145 0.2239 0.3081 0.3379 0.3280 0.3053 0.2808 0.3201 0.3450 0.3398 0.3128 0.1315 0.3545 0.3461 0.3505 0.3518 0.3506 0.4036 0.3404 1 0.4575 0.4708 0.4910 0.4788
0.2220 0.3830 0.0342 0.0412 0.0440 0.0493 0.0470 0.2371 0.2371 0.2387 0.2848 0.2387 0.2113 0.2791 0.2117 0.2092 0.2148 0.3221 0.3448 0.3252 0.3088 0.2929 0.3085 0.3342 0.3265 0.3042 0.1273 0.3698 0.3594 0.3666 0.3690 0.3712 0.3830 0.3431 0.4621 1 0.4914 0.4751 0.5025
0.2430 0.4123 0.0370 0.0449 0.0482 0.0526 0.0509 0.2607 0.2607 0.2570 0.3106 0.2570 0.2246 0.2970 0.2274 0.2265 0.2269 0.3442 0.3720 0.3573 0.3345 0.3103 0.3348 0.3615 0.3682 0.3359 0.1374 0.3801 0.3692 0.3741 0.3779 0.3840 0.4123 0.3679 0.5227 0.5369 1 0.6039 0.5551
0.2408 0.4176 0.0367 0.0443 0.0480 0.0529 0.0511 0.2552 0.2552 0.2582 0.3078 0.2582 0.2273 0.2979 0.2285 0.2299 0.2319 0.3407 0.3720 0.3609 0.3327 0.3138 0.3466 0.3686 0.3764 0.3445 0.1416 0.3872 0.3740 0.3830 0.3858 0.3866 0.4176 0.3741 0.5402 0.5168 0.6015 1 0.5535
0.2369 0.4110 0.0365 0.0434 0.0472 0.0520 0.0501 0.2552 0.2552 0.2504 0.3031 0.2504 0.2234 0.2965 0.2273 0.2257 0.2273 0.3386 0.3716 0.3566 0.3274 0.3144 0.3362 0.3563 0.3594 0.3378 0.1335 0.3888 0.3789 0.3858 0.3926 0.3930 0.4110 0.3724 0.5139 0.5308 0.5370 0.5393 1
