C1901d2TS003_1 C1901d2TS010_1 C1901d2TS010_2 C1901d2TS010_3 C1901d2TS010_4 C1901d2TS010_5 C1901d2TS049_1 C1901d2TS049_2 C1901d2TS049_3 C1901d2TS049_4 C1901d2TS049_5 C1901d2TS067_1 C1901d2TS067_2 C1901d2TS067_3 C1901d2TS067_4 C1901d2TS067_5 C1901d2TS103_1 C1901d2TS103_2 C1901d2TS103_3 C1901d2TS121_1 C1901d2TS121_2 C1901d2TS123_1 C1901d2TS123_2 C1901d2TS123_3 C1901d2TS123_4 C1901d2TS123_5 C1901d2TS131_1 C1901d2TS131_2 C1901d2TS131_3 C1901d2TS131_4 C1901d2TS131_5 C1901d2TS210_1 C1901d2TS210_2 C1901d2TS210_3 C1901d2TS210_4 C1901d2TS210_5 C1901d2TS215_1 C1901d2TS215_2 C1901d2TS215_3 C1901d2TS215_4 C1901d2TS215_5 C1901d2TS228_1 C1901d2TS228_2 C1901d2TS228_3 C1901d2TS228_4 C1901d2TS228_5 C1901d2TS240_1 C1901d2TS240_2 C1901d2TS240_3 C1901d2TS240_4 C1901d2TS240_5 C1901d2TS258_1 C1901d2TS258_2 C1901d2TS258_3 C1901d2TS258_4 C1901d2TS258_5 C1901d2TS267_1 C1901d2TS267_2 C1901d2TS267_3 C1901d2TS267_4 C1901d2TS267_5 C1901d2TS273_1 C1901d2TS273_2 C1901d2TS273_3 C1901d2TS273_4 C1901d2TS273_5 C1901d2TS347_1 C1901d2TS347_2 C1901d2TS347_3 C1901d2TS405_1 C1901d2TS405_2 C1901d2TS405_3 C1901d2TS405_4 C1901d2TS405_5 C1901d2TS438_1 C1901d2TS438_2 C1901d2TS438_3 C1901d2TS438_4 C1901d2TS438_5
0.3136 0.3056 0.3145 0.2973 0.3137 0.3011 0.0751 0.1075 0.1789 0.1364 1 0.3350 0.3350 0.3096 0.3350 0.3122 0.2846 0.2772 0.3091 0.2973 0.1772 0.2881 0.2804 0.2860 0.2899 0.2899 0.2790 0.2752 0.2748 0.2791 0.2779 0.2808 0.2891 0.2954 0.2984 0.2859 0.2982 0.3057 0.3177 0.2884 0.2821 0.2999 0.3016 0.2992 0.3051 0.2772 0.2880 0.2955 0.2862 0.2837 0.2844 0.3005 0.3049 0.3147 0.3165 0.3063 0.2737 0.2793 0.2837 0.2646 0.2827 0.2952 0.3061 0.2978 0.2978 0.2978 0.2934 0.3026 0.2834 0.2808 0.2713 0.2804 0.2813 0.2767 0.2696 0.2692 0.2683 0.2653 0.2683
0.1994 0.2282 0.2242 0.2268 0.2323 0.2223 0.0284 0.0469 0.0710 0.0577 0.0607 1 1.0000 0.2067 1.0000 0.2114 0.2293 0.2144 0.2054 0.2236 0.1364 0.2360 0.2250 0.2317 0.2372 0.2372 0.2035 0.2029 0.2031 0.2020 0.2025 0.1997 0.2106 0.1840 0.2044 0.1818 0.2320 0.2177 0.2322 0.2464 0.2378 0.2093 0.2100 0.2118 0.2117 0.1928 0.1967 0.1997 0.1987 0.2022 0.2085 0.2057 0.2097 0.2051 0.2112 0.2137 0.2303 0.2283 0.2061 0.2254 0.2252 0.2139 0.2071 0.2040 0.2040 0.2040 0.1885 0.1858 0.1897 0.1997 0.1948 0.1967 0.2005 0.1973 0.1838 0.1830 0.1847 0.1846 0.1848
0.1994 0.2282 0.2242 0.2268 0.2323 0.2223 0.0284 0.0469 0.0710 0.0577 0.0607 1.0000 1 0.2067 1.0000 0.2114 0.2293 0.2144 0.2054 0.2236 0.1364 0.2360 0.2250 0.2317 0.2372 0.2372 0.2035 0.2029 0.2031 0.2020 0.2025 0.1997 0.2106 0.1840 0.2044 0.1818 0.2320 0.2177 0.2322 0.2464 0.2378 0.2093 0.2100 0.2118 0.2117 0.1928 0.1967 0.1997 0.1987 0.2022 0.2085 0.2057 0.2097 0.2051 0.2112 0.2137 0.2303 0.2283 0.2061 0.2254 0.2252 0.2139 0.2071 0.2040 0.2040 0.2040 0.1885 0.1858 0.1897 0.1997 0.1948 0.1967 0.2005 0.1973 0.1838 0.1830 0.1847 0.1846 0.1848
0.2465 0.3128 0.3014 0.3033 0.3176 0.3148 0.0361 0.0525 0.0907 0.0677 0.0690 0.2610 0.2610 1 0.2610 0.6406 0.2978 0.3080 0.3433 0.2656 0.1606 0.3321 0.3309 0.3070 0.3182 0.3182 0.3177 0.3235 0.3245 0.3233 0.3256 0.2884 0.3142 0.3447 0.3125 0.3361 0.3071 0.2925 0.2831 0.2950 0.2850 0.2924 0.2927 0.2915 0.2968 0.2699 0.3093 0.3211 0.3123 0.3061 0.3059 0.3053 0.2908 0.3023 0.3008 0.2924 0.3108 0.3087 0.3284 0.3185 0.3227 0.3265 0.3183 0.3173 0.3173 0.3173 0.3388 0.3143 0.3040 0.2884 0.2858 0.2870 0.2883 0.2859 0.3156 0.3135 0.3045 0.3015 0.3076
0.1994 0.2282 0.2242 0.2268 0.2323 0.2223 0.0284 0.0469 0.0710 0.0577 0.0607 1.0000 1.0000 0.2067 1 0.2114 0.2293 0.2144 0.2054 0.2236 0.1364 0.2360 0.2250 0.2317 0.2372 0.2372 0.2035 0.2029 0.2031 0.2020 0.2025 0.1997 0.2106 0.1840 0.2044 0.1818 0.2320 0.2177 0.2322 0.2464 0.2378 0.2093 0.2100 0.2118 0.2117 0.1928 0.1967 0.1997 0.1987 0.2022 0.2085 0.2057 0.2097 0.2051 0.2112 0.2137 0.2303 0.2283 0.2061 0.2254 0.2252 0.2139 0.2071 0.2040 0.2040 0.2040 0.1885 0.1858 0.1897 0.1997 0.1948 0.1967 0.2005 0.1973 0.1838 0.1830 0.1847 0.1846 0.1848
0.2416 0.3051 0.3032 0.2951 0.3166 0.3098 0.0351 0.0491 0.0864 0.0653 0.0653 0.2552 0.2552 0.6133 0.2552 1 0.2736 0.2908 0.3336 0.2473 0.1507 0.3153 0.3027 0.2932 0.2999 0.2999 0.3100 0.3097 0.3122 0.3088 0.3107 0.2892 0.3107 0.3196 0.3061 0.3119 0.2955 0.2851 0.2715 0.2849 0.2764 0.2828 0.2836 0.2846 0.2870 0.2690 0.3085 0.3136 0.3067 0.2975 0.2954 0.2872 0.2792 0.2856 0.2882 0.2806 0.2898 0.2922 0.3043 0.2978 0.3026 0.3182 0.3054 0.3037 0.3037 0.3037 0.3118 0.2932 0.2963 0.2892 0.2845 0.2882 0.2900 0.2874 0.2976 0.2989 0.2931 0.2869 0.2961
0.2020 0.2650 0.2629 0.2633 0.2627 0.3034 0.0305 0.0418 0.0735 0.0521 0.0536 0.2332 0.2332 0.2433 0.2332 0.2333 1 0.3061 0.2820 0.2438 0.1531 0.3261 0.3086 0.3106 0.3678 0.3678 0.2602 0.2669 0.2665 0.2649 0.2641 0.2433 0.2663 0.2861 0.2692 0.2760 0.2710 0.2459 0.2334 0.2658 0.2611 0.2599 0.2611 0.2600 0.2637 0.2333 0.2553 0.2655 0.2502 0.2504 0.2472 0.2728 0.2546 0.2628 0.2596 0.2602 0.3524 0.2970 0.2461 0.2925 0.2930 0.2782 0.2516 0.2509 0.2509 0.2509 0.2722 0.2687 0.2545 0.2433 0.2414 0.2426 0.2445 0.2420 0.2535 0.2522 0.2454 0.2426 0.2485
0.2213 0.3203 0.3290 0.3279 0.3332 0.3372 0.0315 0.0473 0.0750 0.0508 0.0549 0.2385 0.2385 0.2732 0.2385 0.2682 0.3273 1 0.3202 0.2778 0.1758 0.3362 0.3389 0.3144 0.3424 0.3424 0.3213 0.3247 0.3250 0.3278 0.3235 0.2909 0.3333 0.3337 0.3029 0.3228 0.2891 0.3109 0.2774 0.3032 0.2937 0.2710 0.2731 0.2733 0.2747 0.2659 0.3207 0.3256 0.3157 0.3058 0.3029 0.3276 0.3122 0.3113 0.3171 0.3193 0.3363 0.3223 0.3083 0.3182 0.3177 0.3006 0.2868 0.2778 0.2778 0.2778 0.3239 0.2978 0.2987 0.2909 0.2912 0.2908 0.2897 0.2898 0.3242 0.3208 0.3176 0.3120 0.3171
0.2274 0.3351 0.3429 0.3311 0.3327 0.3500 0.0345 0.0497 0.0795 0.0557 0.0622 0.2431 0.2431 0.3197 0.2431 0.3255 0.3246 0.3389 1 0.2795 0.1745 0.3300 0.3354 0.3145 0.3611 0.3611 0.3525 0.3494 0.3494 0.3510 0.3499 0.2898 0.3235 0.3854 0.3173 0.4101 0.3022 0.2933 0.2824 0.3048 0.2994 0.3101 0.3119 0.3115 0.3145 0.2977 0.3401 0.3446 0.3542 0.3395 0.3417 0.3413 0.3260 0.3306 0.3301 0.3267 0.3538 0.3156 0.3206 0.3328 0.3222 0.3307 0.3280 0.3282 0.3282 0.3282 0.3918 0.3858 0.3484 0.2898 0.2897 0.2890 0.2931 0.2895 0.3344 0.3387 0.3299 0.3244 0.3318
0.2462 0.3141 0.3169 0.2983 0.3063 0.2808 0.0366 0.0533 0.0865 0.0618 0.0667 0.2705 0.2705 0.2612 0.2705 0.2540 0.2875 0.3044 0.2893 1 0.3347 0.3193 0.3147 0.3141 0.2832 0.2832 0.2944 0.2924 0.2928 0.2952 0.2918 0.2679 0.2778 0.2768 0.2755 0.2728 0.2868 0.3014 0.2995 0.3119 0.3037 0.2831 0.2848 0.2826 0.2866 0.2553 0.2821 0.2883 0.3024 0.2984 0.3009 0.2915 0.2796 0.2921 0.2866 0.2798 0.2771 0.3150 0.2997 0.2793 0.3163 0.3072 0.3118 0.2955 0.2955 0.2955 0.2878 0.2755 0.2784 0.2679 0.2687 0.2655 0.2698 0.2668 0.2755 0.2731 0.2753 0.2727 0.2752
0.2093 0.2600 0.2656 0.2398 0.2575 0.2301 0.0305 0.0422 0.0692 0.0501 0.0530 0.2306 0.2306 0.2178 0.2306 0.2102 0.2435 0.2618 0.2381 0.5181 1 0.2808 0.2795 0.2814 0.2395 0.2395 0.2395 0.2376 0.2368 0.2402 0.2375 0.2218 0.2269 0.2160 0.2237 0.2204 0.2382 0.2622 0.2505 0.2714 0.2650 0.2278 0.2290 0.2269 0.2312 0.2051 0.2226 0.2277 0.2468 0.2440 0.2440 0.2353 0.2264 0.2347 0.2340 0.2257 0.2354 0.2795 0.2443 0.2416 0.2759 0.2485 0.2644 0.2530 0.2530 0.2530 0.2396 0.2294 0.2328 0.2218 0.2210 0.2221 0.2256 0.2199 0.2153 0.2149 0.2155 0.2130 0.2143
0.2280 0.2833 0.3003 0.2809 0.2841 0.2757 0.0277 0.0421 0.0672 0.0478 0.0514 0.2305 0.2305 0.2613 0.2305 0.2584 0.3096 0.2972 0.2752 0.2582 0.1669 1 0.5305 0.6423 0.3167 0.3167 0.3034 0.3052 0.3060 0.3033 0.3027 0.2696 0.2847 0.2714 0.2882 0.2676 0.2889 0.2937 0.2736 0.3185 0.3067 0.2657 0.2658 0.2651 0.2693 0.2547 0.2702 0.2782 0.2825 0.2902 0.2796 0.2795 0.2756 0.2792 0.2850 0.2804 0.3217 0.6735 0.2909 0.4060 0.6462 0.2998 0.3013 0.3065 0.3065 0.3065 0.2732 0.2484 0.2692 0.2696 0.2701 0.2725 0.2722 0.2686 0.2725 0.2722 0.2711 0.2653 0.2745
0.2186 0.2898 0.2907 0.2816 0.2849 0.2790 0.0278 0.0421 0.0676 0.0468 0.0506 0.2255 0.2255 0.2652 0.2255 0.2539 0.2974 0.3051 0.2828 0.2578 0.1641 0.5412 1 0.5251 0.3187 0.3187 0.2931 0.2949 0.2947 0.2974 0.2939 0.2702 0.2857 0.2752 0.2795 0.2736 0.2836 0.2910 0.2789 0.3077 0.3018 0.2693 0.2703 0.2684 0.2730 0.2568 0.2748 0.2793 0.2733 0.2823 0.2792 0.2871 0.2817 0.2817 0.2874 0.2884 0.3365 0.5109 0.2880 0.4302 0.5053 0.3010 0.3035 0.3030 0.3030 0.3030 0.2815 0.2547 0.2618 0.2702 0.2683 0.2731 0.2726 0.2683 0.2691 0.2657 0.2685 0.2639 0.2687
0.2249 0.2790 0.2949 0.2780 0.2747 0.2671 0.0290 0.0426 0.0679 0.0502 0.0514 0.2339 0.2339 0.2470 0.2339 0.2467 0.3027 0.2849 0.2678 0.2604 0.1702 0.6603 0.5289 1 0.3125 0.3125 0.2896 0.2887 0.2915 0.2905 0.2892 0.2830 0.2830 0.2613 0.2873 0.2634 0.2959 0.2920 0.2761 0.3168 0.3043 0.2654 0.2653 0.2651 0.2695 0.2580 0.2647 0.2676 0.2809 0.2854 0.2742 0.2787 0.2748 0.2805 0.2871 0.2809 0.3156 0.5920 0.2873 0.3991 0.5727 0.2961 0.3036 0.3090 0.3090 0.3090 0.2669 0.2445 0.2659 0.2830 0.2834 0.2851 0.2851 0.2805 0.2612 0.2591 0.2589 0.2573 0.2615
0.2178 0.2956 0.2896 0.3124 0.2853 0.3097 0.0279 0.0401 0.0667 0.0458 0.0500 0.2291 0.2291 0.2479 0.2291 0.2446 0.3464 0.3034 0.2964 0.2265 0.1446 0.3177 0.3154 0.3070 1 1.0000 0.2936 0.2953 0.2960 0.2959 0.2949 0.2813 0.2960 0.2973 0.2916 0.3035 0.3264 0.3011 0.2571 0.2771 0.2733 0.2776 0.2781 0.2759 0.2828 0.2597 0.2691 0.2767 0.2839 0.2793 0.2817 0.2965 0.2762 0.2812 0.2779 0.2770 0.6974 0.3168 0.2660 0.3884 0.3232 0.2957 0.2746 0.2720 0.2720 0.2720 0.3053 0.2836 0.2791 0.2813 0.2728 0.2793 0.2795 0.2759 0.2719 0.2743 0.2675 0.2668 0.2709
0.2178 0.2956 0.2896 0.3124 0.2853 0.3097 0.0279 0.0401 0.0667 0.0458 0.0500 0.2291 0.2291 0.2479 0.2291 0.2446 0.3464 0.3034 0.2964 0.2265 0.1446 0.3177 0.3154 0.3070 1.0000 1 0.2936 0.2953 0.2960 0.2959 0.2949 0.2813 0.2960 0.2973 0.2916 0.3035 0.3264 0.3011 0.2571 0.2771 0.2733 0.2776 0.2781 0.2759 0.2828 0.2597 0.2691 0.2767 0.2839 0.2793 0.2817 0.2965 0.2762 0.2812 0.2779 0.2770 0.6974 0.3168 0.2660 0.3884 0.3232 0.2957 0.2746 0.2720 0.2720 0.2720 0.3053 0.2836 0.2791 0.2813 0.2728 0.2793 0.2795 0.2759 0.2719 0.2743 0.2675 0.2668 0.2709
0.3221 0.5109 0.5151 0.4981 0.4501 0.5037 0.0463 0.0653 0.1042 0.0693 0.0797 0.3204 0.3204 0.4000 0.3204 0.4080 0.4003 0.4616 0.4787 0.3837 0.2381 0.4883 0.4632 0.4588 0.4772 0.4772 1 0.8413 0.8503 0.8792 0.8895 0.5096 0.4936 0.5308 0.5054 0.5573 0.4828 0.4609 0.4538 0.4673 0.4534 0.4647 0.4666 0.4643 0.4695 0.4634 0.5096 0.5105 0.6268 0.6228 0.6207 0.5024 0.5089 0.4911 0.4906 0.4973 0.4890 0.4497 0.4284 0.4507 0.4643 0.4451 0.4729 0.4795 0.4795 0.4795 0.5652 0.4992 0.5781 0.5096 0.5012 0.5033 0.5195 0.5097 0.5535 0.5604 0.5489 0.5229 0.5462
0.3150 0.5080 0.5161 0.4904 0.4390 0.4985 0.0456 0.0660 0.1032 0.0698 0.0775 0.3168 0.3168 0.4059 0.3168 0.4059 0.4082 0.4630 0.4698 0.3773 0.2365 0.4881 0.4636 0.4535 0.4768 0.4768 0.8377 1 0.9511 0.8696 0.8972 0.5151 0.4901 0.5327 0.5106 0.5624 0.4775 0.4523 0.4443 0.4699 0.4549 0.4647 0.4664 0.4655 0.4696 0.4682 0.5204 0.5149 0.6207 0.6168 0.5998 0.5037 0.5084 0.4879 0.4854 0.4956 0.4821 0.4497 0.4302 0.4512 0.4679 0.4389 0.4648 0.4820 0.4820 0.4820 0.5557 0.4853 0.5611 0.5151 0.5057 0.5071 0.5198 0.5126 0.5523 0.5640 0.5545 0.5223 0.5532
0.3155 0.5074 0.5214 0.4942 0.4413 0.4995 0.0457 0.0660 0.1040 0.0701 0.0782 0.3181 0.3181 0.4079 0.3181 0.4103 0.4084 0.4641 0.4706 0.3781 0.2361 0.4902 0.4643 0.4592 0.4788 0.4788 0.8482 0.9510 1 0.8683 0.8882 0.5119 0.4897 0.5357 0.5107 0.5579 0.4771 0.4528 0.4460 0.4669 0.4533 0.4615 0.4634 0.4627 0.4673 0.4654 0.5178 0.5122 0.6239 0.6235 0.6005 0.5038 0.5057 0.4907 0.4875 0.4973 0.4848 0.4521 0.4307 0.4550 0.4681 0.4406 0.4687 0.4814 0.4814 0.4814 0.5614 0.4859 0.5635 0.5119 0.5020 0.5028 0.5151 0.5086 0.5483 0.5590 0.5516 0.5199 0.5488
0.3202 0.5111 0.5180 0.4963 0.4462 0.5066 0.0461 0.0656 0.1046 0.0702 0.0795 0.3174 0.3174 0.4091 0.3174 0.4075 0.4086 0.4716 0.4748 0.3848 0.2384 0.4879 0.4716 0.4604 0.4815 0.4815 0.8793 0.8735 0.8718 1 0.9237 0.5089 0.4901 0.5295 0.5041 0.5572 0.4890 0.4613 0.4554 0.4719 0.4552 0.4667 0.4691 0.4685 0.4711 0.4602 0.5265 0.5208 0.6285 0.6284 0.6150 0.5092 0.5167 0.4975 0.4960 0.5079 0.4916 0.4489 0.4385 0.4506 0.4668 0.4449 0.4784 0.4833 0.4833 0.4833 0.5602 0.4972 0.5569 0.5089 0.5010 0.5032 0.5096 0.5108 0.5621 0.5628 0.5590 0.5335 0.5598
0.3179 0.5099 0.5203 0.4952 0.4433 0.5033 0.0462 0.0655 0.1036 0.0698 0.0781 0.3176 0.3176 0.4108 0.3176 0.4090 0.4068 0.4642 0.4728 0.3800 0.2363 0.4868 0.4646 0.4572 0.4787 0.4787 0.8911 0.9018 0.8917 0.9244 1 0.5144 0.4955 0.5387 0.5048 0.5637 0.4826 0.4571 0.4476 0.4708 0.4581 0.4644 0.4659 0.4651 0.4691 0.4653 0.5157 0.5135 0.6268 0.6162 0.6096 0.5042 0.5082 0.4917 0.4892 0.4987 0.4842 0.4488 0.4273 0.4482 0.4654 0.4451 0.4714 0.4798 0.4798 0.4798 0.5651 0.4955 0.5644 0.5144 0.5045 0.5069 0.5173 0.5132 0.5557 0.5634 0.5546 0.5279 0.5548
