C1905x2TS003_1 C1905x2TS049_1 C1905x2TS049_2 C1905x2TS049_3 C1905x2TS049_4 C1905x2TS049_5 C1905x2TS067_1 C1905x2TS067_2 C1905x2TS067_3 C1905x2TS067_4 C1905x2TS067_5 C1905x2TS073_1 C1905x2TS073_2 C1905x2TS073_3 C1905x2TS073_4 C1905x2TS073_5 C1905x2TS103_1 C1905x2TS121_1 C1905x2TS121_2 C1905x2TS123_1 C1905x2TS123_2 C1905x2TS123_3 C1905x2TS123_4 C1905x2TS123_5 C1905x2TS215_1 C1905x2TS215_2 C1905x2TS215_3 C1905x2TS215_4 C1905x2TS215_5 C1905x2TS228_1 C1905x2TS389_1 C1905x2TS389_2 C1905x2TS389_3 C1905x2TS389_4 C1905x2TS389_5
0.265426 0.146397 0.12872 0.127256 0.132928 0.110173 0.292534 0.278994 0.282148 0.283791 0.283825 0.364767 0.34711 0.372888 0.354814 1 0.278905 0.293183 0.255317 0.316745 0.282611 0.290401 0.31095 0.31095 0.322517 0.327485 0.314068 0.313351 0.329663 0.330193 0.349844 0.353014 0.347542 0.347422 0.341771
0.254641 0.162409 0.143959 0.132453 0.1447 0.13977 0.302459 0.288807 0.302865 0.293783 0.293698 0.281782 0.300963 0.299529 0.301286 0.298893 1 0.285951 0.251622 0.301981 0.280059 0.264007 0.293835 0.293835 0.303616 0.301162 0.31349 0.285916 0.3012 0.329394 0.30595 0.318587 0.309216 0.306037 0.30131
0.233201 0.125668 0.115937 0.103454 0.114272 0.101986 0.261188 0.24122 0.261524 0.240912 0.240995 0.280685 0.27154 0.276152 0.272803 0.280348 0.253379 1 0.320712 0.272903 0.242456 0.233778 0.261505 0.261505 0.277458 0.27649 0.265872 0.260794 0.273816 0.282754 0.281752 0.285514 0.289993 0.278049 0.281345
0.231498 0.140336 0.133362 0.13137 0.133973 0.118449 0.255202 0.238019 0.252499 0.247635 0.247541 0.272268 0.258471 0.249337 0.262408 0.259989 0.237357 0.385256 1 0.255162 0.232614 0.236179 0.262365 0.262365 0.255386 0.256542 0.260878 0.260027 0.273092 0.27035 0.265026 0.268185 0.270641 0.268716 0.266343
0.252086 0.150172 0.136582 0.123185 0.139467 0.115957 0.280561 0.254648 0.27528 0.255811 0.255894 0.311493 0.294876 0.305019 0.298724 0.314349 0.277146 0.287454 0.244736 1 0.367605 0.278522 0.288991 0.288991 0.300288 0.302622 0.288981 0.281272 0.301636 0.311011 0.310645 0.33295 0.316961 0.324835 0.324306
0.286289 0.206814 0.187729 0.183933 0.202592 0.171635 0.304112 0.294169 0.302978 0.298612 0.298701 0.335208 0.31585 0.347173 0.336325 0.338929 0.302409 0.310362 0.268146 0.43114 1 0.293858 0.326725 0.326725 0.342709 0.330369 0.325211 0.307226 0.335581 0.341097 0.34325 0.339015 0.347413 0.342466 0.348617
0.220597 0.135023 0.114873 0.111982 0.123353 0.106558 0.242688 0.23358 0.243682 0.232533 0.232448 0.268154 0.270153 0.268387 0.274926 0.27287 0.235231 0.231229 0.214392 0.26719 0.236981 1 0.235026 0.235026 0.269054 0.261267 0.276718 0.256507 0.268397 0.275692 0.284725 0.284391 0.279039 0.27729 0.299834
0.266304 0.173309 0.157088 0.14329 0.150572 0.137205 0.301241 0.285032 0.298872 0.28839 0.288305 0.297779 0.309804 0.301664 0.314085 0.322343 0.293327 0.289934 0.265927 0.309055 0.285178 0.268237 1 1 0.306644 0.295712 0.305017 0.30082 0.304497 0.306406 0.307021 0.316442 0.311213 0.310853 0.319937
0.266304 0.173309 0.157088 0.14329 0.150572 0.137205 0.301241 0.285032 0.298872 0.28839 0.288305 0.297779 0.309804 0.301664 0.314085 0.322343 0.293327 0.289934 0.265927 0.309055 0.285178 0.268237 1 1 0.306644 0.295712 0.305017 0.30082 0.304497 0.306406 0.307021 0.316442 0.311213 0.310853 0.319937
0.217775 0.130734 0.10289 0.100303 0.10149 0.0904096 0.233357 0.236893 0.227808 0.235502 0.235422 0.280966 0.278277 0.275168 0.268282 0.284574 0.244518 0.257169 0.212644 0.278772 0.2487 0.255363 0.254502 0.254502 1 0.32954 0.300621 0.309139 0.304219 0.283836 0.282054 0.282992 0.279513 0.283478 0.29212
0.201712 0.108267 0.101928 0.0886269 0.0962979 0.0817612 0.249033 0.235278 0.247038 0.234785 0.234705 0.268408 0.283992 0.271429 0.265907 0.282498 0.241947 0.249606 0.215956 0.259848 0.233982 0.243048 0.248903 0.248903 0.319782 1 0.312967 0.306945 0.33124 0.295547 0.288852 0.291757 0.285821 0.300741 0.311781
0.222107 0.124713 0.109282 0.0950944 0.104944 0.0958421 0.254114 0.244803 0.254406 0.2392 0.23912 0.275633 0.283915 0.268032 0.277572 0.291352 0.256432 0.241581 0.217163 0.26858 0.241789 0.256936 0.254966 0.254966 0.303297 0.32276 1 0.341919 0.309864 0.306559 0.28063 0.297278 0.275743 0.289044 0.302237
0.233363 0.116251 0.110248 0.103576 0.113218 0.0873962 0.247111 0.241783 0.240814 0.243785 0.243785 0.273874 0.276153 0.272048 0.265141 0.277456 0.242158 0.238985 0.214615 0.2569 0.226905 0.240941 0.252015 0.252015 0.307503 0.311713 0.339803 1 0.286875 0.297582 0.276558 0.298535 0.278691 0.290547 0.295112
0.22438 0.123294 0.101772 0.0912569 0.0997621 0.0862476 0.24541 0.231437 0.246103 0.229677 0.229727 0.277646 0.273971 0.286189 0.284877 0.288294 0.247665 0.247392 0.225455 0.269161 0.247811 0.255049 0.251331 0.251331 0.3053 0.333887 0.309452 0.285267 1 0.314306 0.293547 0.308106 0.294033 0.307627 0.322039
0.26452 0.135061 0.130194 0.117878 0.130325 0.10105 0.303324 0.283979 0.300734 0.2712 0.271287 0.32787 0.336274 0.338228 0.338834 0.333511 0.302171 0.295928 0.257298 0.319745 0.281732 0.288218 0.28712 0.28712 0.329031 0.336234 0.334701 0.341964 0.360826 1 0.366306 0.391611 0.361543 0.383822 0.373689
0.255846 0.136951 0.125556 0.105853 0.127351 0.10292 0.289166 0.279776 0.289392 0.279627 0.279541 0.347008 0.32293 0.34106 0.338771 0.336498 0.280369 0.285388 0.258849 0.313764 0.282199 0.291454 0.282799 0.282799 0.310056 0.332595 0.31824 0.307488 0.332663 0.36374 1 0.480607 0.480121 0.48136 0.373064
0.241954 0.135734 0.0941549 0.104058 0.117999 0.0870249 0.292362 0.268579 0.282814 0.275636 0.275721 0.321613 0.308067 0.329875 0.326938 0.327648 0.279824 0.28165 0.243084 0.310721 0.264966 0.276021 0.284157 0.284157 0.302606 0.316719 0.307628 0.31552 0.332424 0.367756 0.455598 1 0.433954 0.525603 0.359077
0.262346 0.135773 0.114413 0.106233 0.122216 0.103642 0.298605 0.274275 0.288487 0.271857 0.271771 0.328947 0.309734 0.325405 0.317195 0.326218 0.27166 0.284186 0.254096 0.2995 0.275496 0.27358 0.282799 0.282799 0.30205 0.317999 0.290895 0.304514 0.320311 0.3441 0.469478 0.437797 1 0.459295 0.361041
0.239173 0.136871 0.107389 0.114196 0.115725 0.104158 0.295299 0.273258 0.28188 0.27194 0.272024 0.323634 0.32115 0.338293 0.335086 0.32959 0.279908 0.277981 0.249737 0.31613 0.278975 0.273834 0.283861 0.283861 0.310583 0.333283 0.309251 0.311182 0.335558 0.367879 0.472284 0.528074 0.456012 1 0.365643
0.246721 0.132725 0.116661 0.105292 0.109005 0.0960282 0.290131 0.273615 0.291406 0.273349 0.273265 0.299079 0.319508 0.313961 0.313382 0.32327 0.268724 0.28297 0.248228 0.311598 0.272555 0.303634 0.284819 0.284819 0.310658 0.344362 0.328821 0.312433 0.349374 0.354058 0.357679 0.37162 0.359392 0.364602 1
