C1904d1TS003_1 C1904d1TS010_1 C1904d1TS010_2 C1904d1TS010_3 C1904d1TS010_4 C1904d1TS010_5 C1904d1TS049_1 C1904d1TS049_2 C1904d1TS049_3 C1904d1TS049_4 C1904d1TS049_5 C1904d1TS067_1 C1904d1TS067_2 C1904d1TS067_3 C1904d1TS067_4 C1904d1TS067_5 C1904d1TS073_1 C1904d1TS073_2 C1904d1TS073_3 C1904d1TS073_4 C1904d1TS073_5 C1904d1TS103_1 C1904d1TS103_2 C1904d1TS121_1 C1904d1TS121_2 C1904d1TS123_1 C1904d1TS123_2 C1904d1TS123_3 C1904d1TS123_4 C1904d1TS123_5 C1904d1TS131_1 C1904d1TS131_2 C1904d1TS131_3 C1904d1TS131_4 C1904d1TS131_5 C1904d1TS210_1 C1904d1TS210_2 C1904d1TS210_3 C1904d1TS210_4 C1904d1TS210_5 C1904d1TS215_1 C1904d1TS215_2 C1904d1TS215_3 C1904d1TS215_4 C1904d1TS215_5 C1904d1TS228_1 C1904d1TS228_2 C1904d1TS228_3 C1904d1TS228_4 C1904d1TS228_5 C1904d1TS240_1 C1904d1TS240_2 C1904d1TS240_3 C1904d1TS240_4 C1904d1TS240_5 C1904d1TS247_1 C1904d1TS247_2 C1904d1TS247_3 C1904d1TS247_4 C1904d1TS247_5 C1904d1TS258_1 C1904d1TS258_2 C1904d1TS258_3 C1904d1TS258_4 C1904d1TS258_5 C1904d1TS273_1 C1904d1TS273_2 C1904d1TS273_3 C1904d1TS273_4 C1904d1TS273_5 C1904d1TS347_1 C1904d1TS347_2 C1904d1TS347_3 C1904d1TS404_1 C1904d1TS404_2 C1904d1TS404_3 C1904d1TS404_4 C1904d1TS404_5 C1904d1TS405_1 C1904d1TS405_2 C1904d1TS405_3 C1904d1TS405_4 C1904d1TS405_5 C1904d1TS432_1 C1904d1TS438_1 C1904d1TS438_2 C1904d1TS438_3 C1904d1TS438_4 C1904d1TS438_5
0.424758 0.327223 0.322931 0.322002 0.339875 0.338684 0.527891 0.57648 0.537176 0.56856 1 0.400944 0.384624 0.37819 0.387315 0.388792 0.339809 0.333502 0.357037 0.357071 0.349172 0.324593 0.406069 0.301404 0.309299 0.327478 0.327478 0.340809 0.31349 0.33049 0.324344 0.333507 0.330816 0.341096 0.331043 0.321889 0.35424 0.340269 0.351828 0.361129 0.334662 0.329776 0.337887 0.345521 0.360009 0.34389 0.344312 0.350722 0.342123 0.34542 0.364864 0.368226 0.368805 0.360594 0.36169 0.333398 0.330605 0.339598 0.339107 0.345371 0.347749 0.335739 0.334478 0.335627 0.34809 0.353268 0.353268 0.36031 0.363278 0.380015 0.329256 0.336279 0.378741 0.411645 0.410419 0.410886 0.412878 0.411168 0.321889 0.351828 0.361129 0.368555 0.346696 0.341185 0.337641 0.326856 0.335125 0.335191 0.352197
0.288083 0.36799 0.360241 0.330882 0.342858 0.349288 0.200265 0.166563 0.187445 0.17326 0.168752 1 0.27891 0.279211 0.321349 0.331138 0.313915 0.30664 0.315902 0.32154 0.314578 0.335199 0.30908 0.294203 0.301018 0.35274 0.35274 0.342746 0.334001 0.349213 0.328183 0.330212 0.339588 0.329872 0.326892 0.331643 0.356154 0.34918 0.337614 0.325469 0.337343 0.352425 0.312583 0.33183 0.321592 0.323778 0.325337 0.333158 0.322463 0.349262 0.342327 0.338676 0.342521 0.332248 0.340826 0.3544 0.348849 0.369126 0.354193 0.359331 0.363867 0.33108 0.347142 0.340859 0.360866 0.331363 0.331363 0.328962 0.340181 0.343236 0.35099 0.35424 0.347034 0.353135 0.349313 0.351093 0.354665 0.351505 0.331643 0.337614 0.325469 0.332743 0.321001 0.337176 0.353192 0.3282 0.355357 0.348309 0.353214
0.293073 0.358978 0.339721 0.36195 0.342099 0.342801 0.175236 0.156238 0.176569 0.155015 0.148755 0.266687 1 0.531768 0.328842 0.327259 0.316062 0.332697 0.315739 0.309443 0.310005 0.345205 0.309678 0.314761 0.324442 0.34415 0.34415 0.337549 0.316346 0.326474 0.343587 0.34376 0.34543 0.330005 0.338858 0.327989 0.322234 0.331602 0.317452 0.317234 0.337942 0.347218 0.352227 0.344976 0.324943 0.336821 0.33683 0.333437 0.337956 0.328353 0.313998 0.316656 0.332383 0.324849 0.334862 0.311252 0.32303 0.327871 0.310876 0.323034 0.348887 0.35272 0.358297 0.337948 0.352748 0.317733 0.317733 0.31651 0.30757 0.322011 0.340046 0.350224 0.304245 0.320449 0.320258 0.320778 0.320243 0.321114 0.327989 0.317452 0.317234 0.333918 0.330075 0.304488 0.378842 0.311308 0.367133 0.371723 0.371476
0.284557 0.350028 0.354204 0.38271 0.354413 0.330336 0.174545 0.149171 0.180827 0.164061 0.15177 0.256888 0.534224 1 0.315681 0.319507 0.301758 0.315909 0.322583 0.30249 0.295592 0.342259 0.298002 0.321174 0.302646 0.364603 0.364603 0.334198 0.331771 0.333578 0.33912 0.327345 0.336532 0.328435 0.334683 0.333131 0.310496 0.317675 0.303811 0.297003 0.322211 0.340896 0.353883 0.333898 0.319538 0.324715 0.327238 0.325662 0.326 0.316397 0.302019 0.311338 0.322759 0.310291 0.312301 0.32005 0.32369 0.335324 0.333486 0.327054 0.337367 0.338999 0.351129 0.325583 0.329054 0.306705 0.306705 0.288291 0.289045 0.308645 0.342288 0.340415 0.28401 0.322825 0.322738 0.322223 0.319181 0.323076 0.333131 0.303811 0.297003 0.320384 0.309025 0.28421 0.370061 0.303091 0.360815 0.358876 0.364874
0.0619293 0.07788 0.0761426 0.069126 0.0752902 0.0747028 0.0394269 0.0305224 0.0367258 0.0332283 0.0343472 0.0665407 0.0685211 0.0673482 1 0.627484 0.0670228 0.069942 0.0701792 0.0653475 0.0710798 0.0687224 0.0698845 0.0656841 0.0647005 0.0742029 0.0742029 0.0707377 0.0654078 0.0694391 0.073091 0.071499 0.0710759 0.0710508 0.0746087 0.0744369 0.0791107 0.078721 0.0724179 0.0690154 0.0704844 0.0698464 0.0709088 0.0677252 0.0701871 0.0740902 0.0736968 0.0730887 0.074261 0.0747796 0.0725649 0.0736119 0.0721006 0.0733704 0.0766003 0.0771121 0.0748708 0.0788151 0.074458 0.0799986 0.0689669 0.0744378 0.0777443 0.07396 0.0752667 0.0754577 0.0754577 0.0715118 0.0757725 0.0638942 0.0744582 0.0789579 0.0643059 0.0700526 0.0690283 0.0700725 0.0699774 0.0698861 0.0744369 0.0724179 0.0690154 0.0720282 0.0703783 0.0707236 0.0755517 0.0656462 0.0754512 0.0766833 0.0748149
0.0655089 0.0762849 0.0765232 0.0726829 0.0789391 0.0767787 0.0411678 0.0334822 0.0388415 0.0351486 0.033142 0.0712074 0.0708601 0.0708124 0.640525 1 0.068904 0.0719378 0.071439 0.0678625 0.0687598 0.0703062 0.0706394 0.0681482 0.0654536 0.0765889 0.0765889 0.0735603 0.0672206 0.0727691 0.0752613 0.0744425 0.0741256 0.0737776 0.0728248 0.0747088 0.0825118 0.0780705 0.0723782 0.0680257 0.0751456 0.0712739 0.0706239 0.0717729 0.068299 0.0753247 0.0748691 0.0742599 0.0761009 0.0752055 0.074527 0.0732426 0.0741894 0.0738083 0.0765067 0.0784483 0.0773267 0.0817245 0.0774243 0.0791775 0.0768153 0.0749509 0.077504 0.0754985 0.0775474 0.0763344 0.0763344 0.0735441 0.0757509 0.0697616 0.0796495 0.0836821 0.066508 0.0690672 0.0685826 0.0693178 0.0694755 0.0691291 0.0747088 0.0723782 0.0680257 0.0750927 0.0728803 0.0726506 0.0834559 0.0667267 0.0813874 0.0829716 0.0811504
0.227387 0.317322 0.307418 0.313224 0.328099 0.304397 0.114533 0.10344 0.102869 0.1172 0.102214 0.247824 0.252242 0.250999 0.259862 0.255973 1 0.347044 0.363712 0.381665 0.387112 0.30221 0.267972 0.270624 0.264224 0.314502 0.314502 0.307807 0.314799 0.303792 0.331603 0.329987 0.339691 0.326474 0.33051 0.329596 0.327069 0.31153 0.309324 0.306388 0.311348 0.308193 0.320829 0.300989 0.308461 0.312505 0.314447 0.321923 0.311772 0.332224 0.311145 0.325201 0.296892 0.314557 0.316458 0.319102 0.321472 0.315619 0.307884 0.316837 0.300504 0.343129 0.345029 0.333927 0.357497 0.305805 0.305805 0.300917 0.299237 0.291503 0.28718 0.298893 0.279295 0.305151 0.298699 0.302786 0.304351 0.303913 0.329596 0.309324 0.306388 0.311667 0.308858 0.280969 0.344193 0.307409 0.338612 0.340521 0.337983
0.235292 0.303726 0.326466 0.324634 0.320605 0.318745 0.121648 0.0993333 0.122144 0.119681 0.106587 0.246068 0.271338 0.258917 0.269173 0.274891 0.351842 1 0.367329 0.344679 0.345276 0.302966 0.254736 0.276357 0.272996 0.305292 0.305292 0.339353 0.303992 0.290064 0.327438 0.325981 0.321558 0.315782 0.325653 0.329178 0.336384 0.336285 0.313622 0.313656 0.315491 0.316171 0.307901 0.271539 0.283725 0.324645 0.324346 0.322971 0.317643 0.339748 0.309057 0.322481 0.316771 0.313889 0.326399 0.329959 0.339446 0.337397 0.321149 0.33998 0.312557 0.344361 0.363795 0.326373 0.344753 0.29469 0.29469 0.301003 0.305278 0.296229 0.290164 0.297582 0.256696 0.319561 0.321028 0.317799 0.318247 0.318181 0.329178 0.313622 0.313656 0.308141 0.314884 0.293431 0.347387 0.296085 0.335888 0.349185 0.336243
0.239484 0.335476 0.328471 0.349154 0.323131 0.337207 0.137781 0.116579 0.127899 0.135443 0.128388 0.253206 0.265326 0.274504 0.26723 0.271182 0.363691 0.362203 1 0.408053 0.360273 0.306962 0.268066 0.278432 0.266096 0.315113 0.315113 0.313373 0.304943 0.29943 0.356964 0.350297 0.351794 0.351843 0.353622 0.342061 0.369712 0.349564 0.339028 0.328371 0.334276 0.340302 0.334352 0.324957 0.30829 0.336892 0.336671 0.346788 0.326757 0.357717 0.35319 0.345349 0.329633 0.354084 0.354331 0.349396 0.350252 0.351156 0.362274 0.365578 0.320073 0.362832 0.371685 0.355305 0.364203 0.32717 0.32717 0.317177 0.313437 0.288091 0.292127 0.309188 0.282689 0.319976 0.318636 0.320086 0.319025 0.319076 0.342061 0.339028 0.328371 0.33344 0.338491 0.298035 0.383673 0.308679 0.380662 0.388599 0.386082
0.241722 0.317657 0.316227 0.329128 0.329054 0.322425 0.136269 0.118427 0.141948 0.117657 0.109617 0.267678 0.252494 0.254496 0.261283 0.25972 0.384106 0.33891 0.402447 1 0.374767 0.283657 0.279394 0.275493 0.266562 0.30865 0.30865 0.339551 0.320339 0.299706 0.336329 0.336783 0.34213 0.333766 0.33638 0.350481 0.346063 0.335206 0.348349 0.328477 0.318691 0.328682 0.325315 0.297556 0.289833 0.321578 0.323735 0.33142 0.323974 0.344493 0.349134 0.33991 0.318791 0.34142 0.350741 0.329506 0.343208 0.341734 0.341488 0.333617 0.313359 0.35469 0.349274 0.342652 0.354804 0.300491 0.300491 0.299658 0.300311 0.304601 0.297595 0.303757 0.280738 0.315941 0.312316 0.314631 0.315806 0.314888 0.350481 0.348349 0.328477 0.335846 0.336956 0.292608 0.360815 0.320635 0.364767 0.35622 0.366016
0.235927 0.32723 0.315622 0.335614 0.334364 0.329894 0.132944 0.111366 0.126886 0.137754 0.109322 0.262714 0.26058 0.243997 0.275997 0.268455 0.392304 0.349436 0.359557 0.371634 1 0.287876 0.283578 0.265212 0.271243 0.310761 0.310761 0.320722 0.320682 0.308264 0.347924 0.336191 0.347645 0.340534 0.341513 0.336096 0.338005 0.324888 0.334504 0.333773 0.311036 0.331343 0.318906 0.292207 0.306745 0.326531 0.328763 0.33397 0.32 0.328258 0.343043 0.348975 0.337462 0.353213 0.350877 0.338041 0.326773 0.344291 0.325972 0.339873 0.346072 0.350489 0.352081 0.338942 0.347324 0.316202 0.316202 0.328309 0.323913 0.306284 0.288314 0.302509 0.270736 0.311948 0.310201 0.311277 0.311711 0.310314 0.336096 0.334504 0.333773 0.339114 0.329206 0.287719 0.345749 0.334055 0.332145 0.346362 0.340975
0.230674 0.377624 0.392426 0.380854 0.340507 0.345012 0.110429 0.109113 0.11688 0.100825 0.0989413 0.253472 0.288846 0.290629 0.267193 0.262025 0.30597 0.288791 0.30294 0.274708 0.280099 1 0.289867 0.314398 0.290114 0.515625 0.515625 0.346592 0.364255 0.357289 0.357677 0.347287 0.357946 0.35482 0.346985 0.336145 0.329428 0.323194 0.325165 0.31845 0.332816 0.344529 0.338535 0.322747 0.311642 0.310695 0.317766 0.322376 0.310151 0.326286 0.316056 0.310022 0.303518 0.32015 0.30695 0.348438 0.328002 0.339909 0.355013 0.339762 0.312028 0.342707 0.353452 0.350711 0.337771 0.297649 0.297649 0.294471 0.292148 0.297183 0.349027 0.356017 0.265998 0.310491 0.305661 0.310928 0.311165 0.310408 0.336145 0.325165 0.31845 0.308125 0.324774 0.274359 0.372726 0.303234 0.370084 0.372944 0.370103
0.298425 0.338853 0.321271 0.345237 0.337637 0.315351 0.192799 0.152363 0.189238 0.16242 0.162506 0.303462 0.304036 0.292416 0.331991 0.320027 0.326667 0.307465 0.320744 0.322986 0.331564 0.351386 1 0.299631 0.303109 0.347636 0.347636 0.339814 0.324077 0.315131 0.351876 0.355175 0.347416 0.348096 0.343311 0.342644 0.353939 0.338652 0.340626 0.338074 0.349782 0.32939 0.334408 0.314031 0.324659 0.347624 0.352149 0.35412 0.344426 0.349454 0.338655 0.340839 0.355317 0.345556 0.343487 0.348547 0.342724 0.34924 0.344695 0.347144 0.332885 0.353483 0.342906 0.36474 0.345754 0.342009 0.342009 0.332078 0.33767 0.317241 0.342689 0.337312 0.308598 0.336445 0.333959 0.331522 0.335352 0.335354 0.342644 0.340626 0.338074 0.339677 0.334009 0.313801 0.350859 0.31636 0.347318 0.354774 0.357807
0.190341 0.300414 0.314713 0.303153 0.295496 0.273742 0.103548 0.0771445 0.0989933 0.0897527 0.0782541 0.201862 0.239279 0.245528 0.228179 0.226707 0.244808 0.242823 0.261601 0.242119 0.230611 0.290989 0.226832 1 0.442127 0.28426 0.28426 0.276923 0.308788 0.277874 0.303352 0.289023 0.303416 0.294937 0.286404 0.268591 0.273472 0.258897 0.250287 0.239643 0.30833 0.3033 0.274209 0.264683 0.268277 0.271906 0.276473 0.276441 0.266869 0.271825 0.259705 0.257117 0.259558 0.261651 0.254996 0.278983 0.283885 0.279771 0.277687 0.28848 0.269122 0.27572 0.29781 0.292562 0.274919 0.24968 0.24968 0.24497 0.244101 0.240845 0.265684 0.302408 0.220149 0.225784 0.224934 0.226746 0.225678 0.224876 0.268591 0.250287 0.239643 0.251643 0.258959 0.229546 0.294371 0.259287 0.299991 0.296966 0.295114
0.202282 0.288065 0.308681 0.300295 0.279569 0.26283 0.109099 0.0868923 0.103901 0.0984527 0.0762587 0.216039 0.258388 0.236114 0.227097 0.220061 0.242638 0.248149 0.243382 0.23373 0.244219 0.279561 0.230176 0.463186 1 0.281116 0.281116 0.298539 0.295087 0.268929 0.292062 0.282798 0.285639 0.28715 0.278311 0.269487 0.270564 0.281934 0.266983 0.259681 0.28597 0.284822 0.261842 0.266883 0.25519 0.279149 0.280194 0.275076 0.281 0.262021 0.256156 0.260461 0.257825 0.260801 0.253703 0.285258 0.281697 0.285103 0.276719 0.289975 0.285829 0.278448 0.297303 0.291126 0.293293 0.247764 0.247764 0.254168 0.242266 0.242703 0.27018 0.274956 0.218432 0.236914 0.235683 0.236351 0.236774 0.238988 0.269487 0.266983 0.259681 0.265853 0.265301 0.231116 0.292041 0.264868 0.296148 0.290392 0.290754
0.217679 0.382191 0.377554 0.365871 0.351027 0.333431 0.113397 0.0931042 0.104068 0.0976155 0.0946052 0.271016 0.278405 0.283977 0.284245 0.274501 0.306188 0.287558 0.301443 0.292049 0.300492 0.497351 0.285558 0.302748 0.297799 1 1 0.3543 0.364678 0.373145 0.372323 0.369556 0.371333 0.370708 0.367652 0.350367 0.335407 0.347487 0.33571 0.324801 0.320029 0.332975 0.330919 0.307439 0.338845 0.317811 0.330426 0.331709 0.324487 0.343164 0.308885 0.321086 0.309031 0.306953 0.30993 0.349735 0.330743 0.356591 0.350228 0.342598 0.321349 0.361649 0.362446 0.356245 0.337925 0.287302 0.287302 0.303924 0.294394 0.29795 0.328493 0.349906 0.257899 0.307121 0.304116 0.309937 0.307522 0.308295 0.350367 0.33571 0.324801 0.315134 0.332383 0.287527 0.381586 0.317632 0.374395 0.371777 0.374648
