C1906d1TS003_1 C1906d1TS010_1 C1906d1TS010_2 C1906d1TS010_3 C1906d1TS010_4 C1906d1TS010_5 C1906d1TS026_1 C1906d1TS026_2 C1906d1TS026_3 C1906d1TS026_4 C1906d1TS044_1 C1906d1TS049_1 C1906d1TS049_2 C1906d1TS049_3 C1906d1TS049_4 C1906d1TS049_5 C1906d1TS067_1 C1906d1TS067_2 C1906d1TS067_3 C1906d1TS067_4 C1906d1TS067_5 C1906d1TS073_1 C1906d1TS073_2 C1906d1TS073_3 C1906d1TS073_4 C1906d1TS073_5 C1906d1TS103_1 C1906d1TS121_1 C1906d1TS121_2 C1906d1TS123_1 C1906d1TS123_2 C1906d1TS123_3 C1906d1TS123_4 C1906d1TS123_5 C1906d1TS131_1 C1906d1TS131_2 C1906d1TS131_3 C1906d1TS131_4 C1906d1TS131_5 C1906d1TS210_1 C1906d1TS210_2 C1906d1TS210_3 C1906d1TS210_4 C1906d1TS210_5 C1906d1TS215_1 C1906d1TS215_2 C1906d1TS215_3 C1906d1TS215_4 C1906d1TS215_5 C1906d1TS228_1 C1906d1TS228_2 C1906d1TS228_3 C1906d1TS228_4 C1906d1TS228_5 C1906d1TS240_1 C1906d1TS240_2 C1906d1TS240_3 C1906d1TS240_4 C1906d1TS240_5 C1906d1TS247_1 C1906d1TS247_2 C1906d1TS247_3 C1906d1TS247_4 C1906d1TS247_5 C1906d1TS258_1 C1906d1TS258_2 C1906d1TS258_3 C1906d1TS258_4 C1906d1TS258_5 C1906d1TS270_1 C1906d1TS273_1 C1906d1TS273_2 C1906d1TS273_3 C1906d1TS273_4 C1906d1TS273_5 C1906d1TS301_1 C1906d1TS345_1 C1906d1TS345_2 C1906d1TS345_3 C1906d1TS345_4 C1906d1TS345_5 C1906d1TS347_1 C1906d1TS347_2 C1906d1TS347_3 C1906d1TS405_1 C1906d1TS405_2 C1906d1TS405_3 C1906d1TS405_4 C1906d1TS405_5 C1906d1TS438_1 C1906d1TS438_2 C1906d1TS438_3 C1906d1TS438_4 C1906d1TS438_5
0.242722 0.541905 0.516596 0.489628 0.522467 0.524459 0.516342 0.538644 0.487112 0.639399 1 0.144545 0.0988321 0.0970249 0.0937352 0.0849542 0.363118 0.334318 0.216867 0.363118 0.334318 0.548499 0.540914 0.569023 0.578917 0.548656 0.407037 0.459071 0.400718 0.529442 0.505416 0.409708 0.39935 0.470082 0.614308 0.611054 0.619408 0.613807 0.615176 0.615157 0.62638 0.608849 0.607944 0.610922 0.522055 0.438406 0.462962 0.428299 0.49868 0.649664 0.659531 0.667358 0.641042 0.682495 0.52352 0.525814 0.515784 0.53642 0.530058 0.637764 0.634338 0.636729 0.634627 0.653771 0.645754 0.643516 0.633787 0.651618 0.645585 0.513948 0.470922 0.479358 0.481869 0.469404 0.469086 1 0.486405 0.471947 0.446431 0.506299 0.470596 0.4913 0.514475 0.481272 0.615157 0.62638 0.608849 0.607944 0.610922 0.477028 0.649771 0.646609 0.644567 0.657405
0.400301 0.325799 0.33452 0.326396 0.333461 0.313853 0.358803 0.29341 0.323644 0.314259 0.331994 1 0.491331 0.460809 0.439195 0.46243 0.357776 0.379279 0.396711 0.357776 0.379279 0.354196 0.344715 0.340576 0.34643 0.336724 0.343208 0.31441 0.266653 0.296999 0.311353 0.355594 0.374664 0.332955 0.318923 0.320102 0.321624 0.311072 0.316283 0.326163 0.323152 0.326672 0.328176 0.327346 0.320876 0.34878 0.317193 0.356043 0.297298 0.316813 0.318778 0.323472 0.322523 0.311017 0.334944 0.343995 0.340311 0.354786 0.342457 0.303789 0.309423 0.30752 0.308445 0.306321 0.324695 0.328566 0.332193 0.317949 0.335732 0.321629 0.329072 0.329871 0.325599 0.331223 0.323338 0.331994 0.322756 0.310118 0.31901 0.316836 0.30005 0.318911 0.319091 0.329537 0.326163 0.323152 0.326672 0.328176 0.327346 0.278755 0.319839 0.330067 0.321765 0.327583
0.422325 0.315189 0.324728 0.324099 0.309876 0.316806 0.368367 0.294376 0.330928 0.311212 0.318282 0.506649 1 0.503667 0.471932 0.527133 0.365549 0.389447 0.405051 0.365549 0.389447 0.336977 0.320865 0.333924 0.330418 0.314536 0.343347 0.308739 0.260465 0.320237 0.308591 0.362542 0.356448 0.324745 0.311913 0.312168 0.313348 0.302887 0.308288 0.326707 0.327735 0.325113 0.3224 0.326953 0.311498 0.328235 0.315728 0.337991 0.29343 0.310803 0.311999 0.313862 0.316241 0.315567 0.332202 0.348337 0.354911 0.339316 0.344766 0.305727 0.298026 0.292144 0.303227 0.300589 0.32847 0.315394 0.320526 0.324715 0.327676 0.318974 0.320865 0.315176 0.322254 0.328335 0.323068 0.318282 0.295116 0.309553 0.313907 0.312617 0.308369 0.326534 0.327711 0.337493 0.326707 0.327735 0.325113 0.3224 0.326953 0.282915 0.324939 0.326811 0.32785 0.329021
0.388449 0.308294 0.308548 0.318476 0.312597 0.308063 0.354129 0.29212 0.317937 0.310975 0.298305 0.483991 0.509121 1 0.463643 0.501912 0.344779 0.357562 0.370228 0.344779 0.357562 0.326601 0.331759 0.3296 0.337653 0.326346 0.34675 0.307808 0.240301 0.303204 0.303792 0.344518 0.355506 0.322605 0.302986 0.30614 0.306863 0.296275 0.305364 0.316693 0.31944 0.32055 0.318721 0.322604 0.304893 0.323195 0.292705 0.338578 0.297443 0.297521 0.302506 0.30722 0.301592 0.294428 0.331284 0.341278 0.343316 0.343411 0.333066 0.287809 0.291359 0.287819 0.297188 0.286629 0.316676 0.305151 0.31174 0.313583 0.324533 0.311278 0.3086 0.315782 0.309352 0.322189 0.313383 0.298305 0.315605 0.309973 0.317577 0.310517 0.309921 0.318506 0.313507 0.327282 0.316693 0.31944 0.32055 0.318721 0.322604 0.269027 0.306531 0.312006 0.314273 0.310948
0.409833 0.306372 0.31935 0.319977 0.311483 0.304231 0.357424 0.282923 0.3184 0.302805 0.314787 0.502649 0.515967 0.490635 1 0.518666 0.371928 0.385596 0.37458 0.371928 0.385596 0.330273 0.314691 0.331104 0.329405 0.309506 0.344876 0.308801 0.250183 0.304358 0.290479 0.362906 0.363274 0.317172 0.3097 0.308662 0.310207 0.307463 0.302854 0.317059 0.319692 0.312724 0.310003 0.318326 0.318744 0.332396 0.294843 0.351133 0.290864 0.300973 0.308027 0.313855 0.304173 0.299095 0.340327 0.347387 0.340237 0.351981 0.341324 0.297864 0.300458 0.291891 0.290991 0.298567 0.31086 0.321461 0.317792 0.310188 0.315286 0.316612 0.32247 0.328838 0.325417 0.336447 0.327795 0.314787 0.311736 0.313095 0.302393 0.308328 0.313929 0.318724 0.319559 0.324574 0.317059 0.319692 0.312724 0.310003 0.318326 0.271168 0.313163 0.323983 0.31582 0.327072
0.395911 0.298206 0.312506 0.321429 0.309874 0.298178 0.343149 0.279218 0.31879 0.294107 0.295198 0.515946 0.565719 0.541169 0.517195 1 0.339714 0.376037 0.387858 0.339714 0.376037 0.330165 0.314414 0.30793 0.312014 0.298419 0.344149 0.292645 0.235837 0.297417 0.27491 0.342974 0.355035 0.316938 0.292409 0.29448 0.293134 0.287452 0.29168 0.308406 0.306157 0.306252 0.308807 0.304558 0.290495 0.327339 0.289968 0.335711 0.273121 0.284271 0.28657 0.292405 0.290148 0.293887 0.312208 0.324833 0.321034 0.319522 0.315178 0.286566 0.28228 0.271182 0.291611 0.286833 0.290513 0.291727 0.294334 0.29702 0.300824 0.295781 0.304463 0.312109 0.308422 0.321126 0.313797 0.295198 0.298834 0.295291 0.29808 0.297083 0.296809 0.304666 0.304658 0.322115 0.308406 0.306157 0.306252 0.308807 0.304558 0.262126 0.30916 0.304995 0.307963 0.311499
0.267997 0.41138 0.402341 0.396473 0.402717 0.403376 0.378343 0.396219 0.395788 0.400451 0.415768 0.174938 0.177875 0.145318 0.147744 0.140049 1 0.352809 0.238872 1 0.352809 0.365773 0.364878 0.366277 0.372342 0.364434 0.357478 0.385926 0.340513 0.395454 0.40478 0.377275 0.371168 0.379341 0.39242 0.39703 0.394626 0.388574 0.397971 0.398135 0.413681 0.406142 0.409205 0.40375 0.32713 0.348056 0.353258 0.362244 0.374613 0.403573 0.406128 0.407636 0.407382 0.401278 0.421558 0.410176 0.415921 0.406689 0.399903 0.386722 0.383126 0.392805 0.387598 0.389395 0.415959 0.411923 0.398002 0.415105 0.407597 0.371995 0.380975 0.38579 0.390743 0.388022 0.394972 0.415768 0.368267 0.358073 0.356583 0.350693 0.344408 0.401155 0.404565 0.386557 0.398135 0.413681 0.406142 0.409205 0.40375 0.382578 0.405294 0.407172 0.402968 0.411781
0.268967 0.355315 0.355087 0.351617 0.369418 0.349556 0.336592 0.341499 0.342981 0.33844 0.366967 0.190553 0.187074 0.155397 0.157648 0.148207 0.339308 1 0.268011 0.339308 1 0.343067 0.325219 0.335349 0.337723 0.341959 0.322535 0.344052 0.321868 0.349022 0.341984 0.313198 0.324397 0.340422 0.340832 0.340949 0.340932 0.34265 0.340054 0.347824 0.369277 0.360258 0.368249 0.368975 0.310804 0.309953 0.31469 0.336729 0.342294 0.343865 0.347634 0.351391 0.346428 0.351829 0.362636 0.353799 0.34193 0.364956 0.361946 0.349708 0.349822 0.352878 0.354606 0.350578 0.353709 0.351892 0.345991 0.362889 0.357447 0.314617 0.358302 0.361799 0.351215 0.347337 0.349338 0.366967 0.335033 0.3224 0.327972 0.327953 0.32217 0.352501 0.355084 0.343756 0.347824 0.369277 0.360258 0.368249 0.368975 0.332928 0.354112 0.359041 0.349428 0.352556
0.285994 0.275838 0.272028 0.288509 0.265859 0.276823 0.261025 0.2561 0.272129 0.256814 0.257759 0.17857 0.164115 0.146871 0.138857 0.130399 0.236529 0.25536 1 0.236529 0.25536 0.261138 0.266729 0.26612 0.254097 0.258177 0.266138 0.287118 0.260583 0.270064 0.273888 0.261715 0.267774 0.275473 0.257153 0.259621 0.255903 0.258294 0.264098 0.266987 0.263712 0.26695 0.261451 0.272146 0.273236 0.2643 0.272558 0.261284 0.25315 0.260864 0.260974 0.263496 0.256681 0.265311 0.244064 0.263205 0.262496 0.263769 0.281723 0.281642 0.263447 0.256852 0.265389 0.256282 0.272276 0.265885 0.260437 0.276392 0.257449 0.262874 0.265269 0.266345 0.253348 0.258534 0.262922 0.257759 0.250631 0.260515 0.270835 0.241766 0.238204 0.264469 0.266183 0.252342 0.266987 0.263712 0.26695 0.261451 0.272146 0.255414 0.262375 0.268218 0.262974 0.258658
0.267997 0.41138 0.402341 0.396473 0.402717 0.403376 0.378343 0.396219 0.395788 0.400451 0.415768 0.174938 0.177875 0.145318 0.147744 0.140049 1 0.352809 0.238872 1 0.352809 0.365773 0.364878 0.366277 0.372342 0.364434 0.357478 0.385926 0.340513 0.395454 0.40478 0.377275 0.371168 0.379341 0.39242 0.39703 0.394626 0.388574 0.397971 0.398135 0.413681 0.406142 0.409205 0.40375 0.32713 0.348056 0.353258 0.362244 0.374613 0.403573 0.406128 0.407636 0.407382 0.401278 0.421558 0.410176 0.415921 0.406689 0.399903 0.386722 0.383126 0.392805 0.387598 0.389395 0.415959 0.411923 0.398002 0.415105 0.407597 0.371995 0.380975 0.38579 0.390743 0.388022 0.394972 0.415768 0.368267 0.358073 0.356583 0.350693 0.344408 0.401155 0.404565 0.386557 0.398135 0.413681 0.406142 0.409205 0.40375 0.382578 0.405294 0.407172 0.402968 0.411781
0.268967 0.355315 0.355087 0.351617 0.369418 0.349556 0.336592 0.341499 0.342981 0.33844 0.366967 0.190553 0.187074 0.155397 0.157648 0.148207 0.339308 1 0.268011 0.339308 1 0.343067 0.325219 0.335349 0.337723 0.341959 0.322535 0.344052 0.321868 0.349022 0.341984 0.313198 0.324397 0.340422 0.340832 0.340949 0.340932 0.34265 0.340054 0.347824 0.369277 0.360258 0.368249 0.368975 0.310804 0.309953 0.31469 0.336729 0.342294 0.343865 0.347634 0.351391 0.346428 0.351829 0.362636 0.353799 0.34193 0.364956 0.361946 0.349708 0.349822 0.352878 0.354606 0.350578 0.353709 0.351892 0.345991 0.362889 0.357447 0.314617 0.358302 0.361799 0.351215 0.347337 0.349338 0.366967 0.335033 0.3224 0.327972 0.327953 0.32217 0.352501 0.355084 0.343756 0.347824 0.369277 0.360258 0.368249 0.368975 0.332928 0.354112 0.359041 0.349428 0.352556
0.235541 0.483945 0.473432 0.4126 0.439072 0.479753 0.448026 0.47617 0.425452 0.56905 0.512667 0.169677 0.137537 0.131602 0.107936 0.113925 0.316348 0.314536 0.234338 0.316348 0.314536 1 0.646267 0.66194 0.637569 0.646777 0.366875 0.383823 0.342533 0.454773 0.4467 0.379001 0.343169 0.41613 0.568881 0.577905 0.580002 0.577488 0.580941 0.578063 0.586708 0.585042 0.588078 0.586685 0.507018 0.410368 0.449755 0.387139 0.459256 0.561551 0.561314 0.55652 0.568631 0.554377 0.444207 0.454336 0.445538 0.450192 0.430464 0.544725 0.555701 0.536344 0.564245 0.57554 0.548636 0.548811 0.574718 0.577599 0.578909 0.51175 0.408926 0.408761 0.407529 0.414073 0.427204 0.512667 0.444152 0.425544 0.411232 0.460155 0.392543 0.412916 0.415359 0.398782 0.578063 0.586708 0.585042 0.588078 0.586685 0.423098 0.578778 0.580403 0.580178 0.586235
0.224224 0.442579 0.434163 0.428892 0.430186 0.440499 0.431493 0.4574 0.422079 0.540134 0.500897 0.149459 0.111823 0.126494 0.0923903 0.100709 0.297196 0.2871 0.227973 0.297196 0.2871 0.617173 1 0.585153 0.645421 0.681345 0.368218 0.391592 0.341775 0.436255 0.431387 0.373121 0.346102 0.407423 0.540903 0.546834 0.556406 0.560146 0.540642 0.577286 0.56529 0.584216 0.583495 0.575058 0.475807 0.381673 0.40898 0.383173 0.431257 0.525339 0.525079 0.520226 0.519693 0.530462 0.438886 0.457068 0.446367 0.459979 0.428721 0.521743 0.522547 0.505109 0.52677 0.523823 0.520228 0.51688 0.545999 0.532529 0.531742 0.494303 0.401565 0.413233 0.404261 0.397514 0.399411 0.500897 0.435511 0.4441 0.43387 0.461295 0.378723 0.388723 0.409277 0.389252 0.577286 0.56529 0.584216 0.583495 0.575058 0.441231 0.538803 0.538033 0.544437 0.532162
0.226447 0.493319 0.480918 0.442869 0.427119 0.489637 0.464194 0.471616 0.440033 0.596434 0.531048 0.154653 0.113625 0.121187 0.0956998 0.0891884 0.313915 0.302844 0.222978 0.313915 0.302844 0.654619 0.60824 1 0.617959 0.622467 0.37423 0.397074 0.351994 0.47388 0.451642 0.374595 0.355231 0.411388 0.604723 0.605738 0.603649 0.617871 0.621114 0.570447 0.584583 0.573759 0.56962 0.590439 0.501904 0.40316 0.430031 0.394732 0.464682 0.577257 0.580471 0.576758 0.572956 0.564623 0.45481 0.468781 0.463975 0.47002 0.448435 0.56663 0.565389 0.567166 0.56566 0.569368 0.562915 0.572442 0.576969 0.580353 0.571116 0.543591 0.427595 0.429674 0.412074 0.413319 0.421819 0.531048 0.458414 0.438238 0.410751 0.483393 0.402404 0.41849 0.430058 0.40963 0.570447 0.584583 0.573759 0.56962 0.590439 0.447374 0.583197 0.596192 0.594594 0.582384
0.231592 0.482153 0.470203 0.442229 0.446272 0.461575 0.453108 0.488183 0.446147 0.597668 0.537866 0.149525 0.113198 0.122206 0.0971371 0.0911702 0.313659 0.301729 0.220318 0.313659 0.301729 0.629338 0.660552 0.612713 1 0.676059 0.372366 0.390054 0.352723 0.475217 0.481903 0.382456 0.352694 0.419192 0.614534 0.615274 0.632181 0.6087 0.605967 0.582803 0.590007 0.592034 0.601928 0.601869 0.508382 0.399126 0.458594 0.406183 0.470057 0.576512 0.579933 0.574507 0.580823 0.585497 0.458102 0.466901 0.46942 0.478181 0.452973 0.56599 0.572729 0.548348 0.578845 0.581839 0.564631 0.551769 0.590498 0.603962 0.588754 0.522699 0.436748 0.435997 0.4262 0.425727 0.421329 0.537866 0.452232 0.450433 0.436546 0.482758 0.410388 0.414134 0.431247 0.419679 0.582803 0.590007 0.592034 0.601928 0.601869 0.451453 0.566983 0.578392 0.574395 0.572834
